code,language,speakers,URIEL,learned,distance,name,joshi,family,l2v index,zeros in genetic distance,ones in genetic distance,rest in genetic distance,zeros in geographic distance,ones in geographic distance,rest in geographic distance,zeros in syntactic distance,ones in syntactic distance,rest in syntactic distance,zeros in inventory distance,ones in inventory distance,rest in inventory distance,zeros in phonological distance,ones in phonological distance,rest in phonological distance,zeros in featural distance,ones in featural distance,rest in featural distance
nld,Dutch,24.5M,True,True,True,Dutch,4.0,Indo-European,727,1,145,53,6,5,188,49,5,145,1,0,198,0,0,199,1,21,177
ron,Romanian,24.5M,True,True,True,Romanian,3.0,Indo-European,459,1,137,61,11,3,185,1,13,185,1,0,198,1,16,182,1,4,194
gan,Gan Chinese,22.6M,False,False,True,Gan Chinese,1.0,Sino-Tibetan,2939,1,172,26,19,3,177,112,0,87,62,0,137,3,7,189,2,88,109
som,Somali,22.0M,True,True,True,Somali,1.0,Afro-Asiatic,468,1,175,23,5,5,189,1,3,195,1,0,198,0,8,191,1,8,190
mai,Maithili,21.8M,True,True,True,Maithili,1.0,Indo-European,1288,1,160,38,12,10,177,75,2,122,1,0,198,0,6,193,1,29,169
mag,Magahi,20.7M,True,False,True,Magahi,0.0,Indo-European,4444,1,146,52,18,16,165,107,4,88,181,0,18,0,0,199,104,12,83
pbt,Southern Pashto,19.9M,False,False,True,Southern Pashto,,Indo-European,6408,1,191,7,5,18,176,135,0,64,187,0,12,0,0,199,128,3,68
xho,Xhosa,19.2M,True,True,True,Xhosa,2.0,Atlantic-Congo,1231,1,181,17,6,12,181,1,3,195,1,0,198,0,0,199,1,8,190
gaz,West Central Oromo,19.2M,True,False,True,West Central Oromo,,Afro-Asiatic,7397,1,182,16,8,24,167,27,3,169,187,0,12,1,4,194,24,7,168
zlm,Malay,19.2M,True,False,True,Malay (individual language),3.0,Austronesian,4506,1,195,3,3,143,53,139,0,60,138,0,61,0,0,199,86,5,108
acm,Mesopotamian Spoken Arabic,18.2M,True,False,True,Mesopotamian Arabic,,Afro-Asiatic,4786,1,188,10,30,12,157,107,4,88,182,0,17,0,0,199,104,14,81
ars,Najdi Spoken Arabic,18.1M,True,False,True,Najdi Arabic,,Afro-Asiatic,5039,1,165,33,22,8,169,118,4,77,182,0,17,0,0,199,111,11,77
khm,Khmer,18.0M,True,True,True,Central Khmer,1.0,Austroasiatic,404,1,196,2,7,2,190,9,2,188,1,0,198,1,6,192,1,3,195
afr,Afrikaans,17.7M,True,True,True,Afrikaans,3.0,Indo-European,861,1,153,45,7,3,189,1,11,187,1,0,198,0,0,199,1,6,192
sin,Sinhala,17.6M,True,False,True,Sinhala,0.0,Indo-European,466,1,139,59,5,3,191,1,9,189,1,0,198,1,13,185,1,10,188
fuv,Nigerian Fulfulde,16.6M,True,True,True,Nigerian Fulfulde,,Atlantic-Congo,971,1,175,23,6,5,188,1,70,128,1,0,198,0,0,199,1,58,140
kaz,Kazakh,16.5M,True,False,True,Kazakh,3.0,Turkic,3741,1,168,30,18,12,169,102,4,93,49,0,150,4,9,186,1,43,155
hne,Chhattisgarhi,16.3M,False,True,True,Chhattisgarhi,,Indo-European,2318,1,167,31,10,30,159,69,0,130,69,0,130,0,0,199,31,4,164
ceb,Cebuano,16.0M,True,True,True,Cebuano,3.0,Austronesian,936,1,193,5,3,11,185,1,9,189,0,0,199,0,0,199,1,20,178
kmr,Northern Kurdish,15.8M,True,True,True,Northern Kurdish,,Indo-European,5288,1,175,23,16,12,171,80,6,113,105,0,94,1,0,198,76,5,118
asm,Assamese,15.3M,True,False,True,Assamese,1.0,Indo-European,1256,1,155,43,11,8,180,1,8,190,1,0,198,0,0,199,1,20,178
tts,Northeastern Thai,15.0M,False,False,True,Northeastern Thai,,Tai-Kadai,5310,1,196,2,5,29,165,126,4,69,184,0,15,0,0,199,120,10,69
azb,South Azerbaijani,14.9M,True,True,True,South Azerbaijani,1.0,Turkic,345,1,190,8,9,2,188,4,4,191,1,0,198,3,10,186,1,7,191
bar,Bavarian,14.6M,True,False,True,Bavarian,1.0,Indo-European,1867,1,164,34,7,33,159,2,10,187,74,0,125,1,9,189,1,23,175
kin,Kinyarwanda,14.5M,True,True,True,Kinyarwanda,1.0,Atlantic-Congo,663,1,172,26,10,5,184,47,5,147,1,0,198,0,0,199,1,22,176
nya,Chichewa,14.4M,True,True,True,Nyanja,1.0,Atlantic-Congo,5433,1,170,28,4,10,185,21,4,174,186,0,13,0,0,199,20,12,167
bam,Bamanankan,14.2M,True,False,True,Bambara,1.0,Mande,888,1,195,3,13,17,169,20,4,175,1,0,198,0,2,197,1,3,195
tsn,Setswana,13.7M,True,True,True,Tswana,2.0,Atlantic-Congo,6966,1,179,19,6,25,168,147,3,49,187,0,12,0,0,199,142,8,49
nso,Northern Sotho,13.7M,True,True,True,Pedi,1.0,Atlantic-Congo,5707,1,183,15,31,11,157,7,4,188,28,0,171,0,10,189,1,13,185
sot,Southern Sotho,13.5M,True,True,True,Southern Sotho,0.0,Atlantic-Congo,6441,1,182,16,8,44,147,142,0,57,190,0,9,0,0,199,138,7,54
ell,Greek,13.1M,True,True,True,Modern Greek (1453-),,Indo-European,364,1,128,70,11,2,186,1,3,195,1,0,198,1,10,188,1,5,193
swe,Swedish,13.1M,True,True,True,Swedish,4.0,Indo-European,793,1,150,48,3,3,193,1,4,194,1,0,198,0,0,199,1,5,193
hat,Haitian Creole,13.0M,True,False,True,Haitian,2.0,Indo-European,3150,1,170,28,16,3,180,92,3,104,57,0,142,0,0,199,1,18,180
ctg,Chittagonian,13.0M,True,False,True,Chittagonian,,Indo-European,2351,1,164,34,7,61,131,37,0,162,67,0,132,1,3,195,29,5,165
run,Rundi,12.9M,True,False,True,Rundi,0.0,Atlantic-Congo,768,1,173,25,7,2,190,44,6,149,1,0,198,0,0,199,1,49,149
dyu,Jula,12.8M,True,False,True,Dyula,0.0,Mande,2688,1,182,16,6,12,181,34,0,165,1,0,198,0,11,188,1,39,159
dcc,Deccan,12.8M,True,False,True,Deccan,,Indo-European,2523,1,165,33,6,7,186,35,0,164,63,0,136,0,3,196,27,4,168
hun,Hungarian,12.6M,True,True,True,Hungarian,4.0,Uralic,384,1,198,0,13,4,182,1,2,196,0,0,199,2,10,187,1,3,195
ayn,Sanaani Spoken Arabic,12.6M,True,False,True,Sanaani Arabic,,Afro-Asiatic,6084,1,179,19,16,38,145,136,0,63,189,0,10,0,0,199,134,3,62
ktu,Kituba,12.4M,True,True,True,Kituba (Democratic Republic of Congo),0.0,Atlantic-Congo,1047,1,177,21,4,5,190,106,0,93,1,0,198,0,0,199,1,63,135
wol,Wolof,12.4M,True,False,True,Wolof,2.0,Atlantic-Congo,495,1,167,31,5,5,189,36,2,161,1,0,198,2,10,187,1,14,184
ces,Czech,12.3M,True,True,True,Czech,4.0,Indo-European,582,1,140,58,21,5,173,21,6,172,0,0,199,0,0,199,1,7,191
sck,Sadri,12.1M,False,False,True,Sadri,,Indo-European,6029,1,181,17,16,13,170,12,6,181,180,0,19,0,0,199,11,10,178
wes,Cameroon Pidgin,12.0M,False,False,True,Cameroon Pidgin,,Indo-European,2212,1,166,32,5,15,179,40,2,157,71,0,128,0,5,194,32,5,162
mos,Moore,11.9M,True,True,True,Mossi,,Atlantic-Congo,4939,1,185,13,8,11,180,92,5,102,143,0,56,1,3,195,85,10,104
acq,Ta'izzi-Adeni Spoken Arabic,11.9M,True,False,True,Ta'izzi-Adeni Arabic,,Afro-Asiatic,6617,1,170,28,2,140,57,142,0,57,189,0,10,0,0,199,138,3,58
mnp,Min Bei Chinese,11.7M,False,False,True,Min Bei Chinese,,Sino-Tibetan,4821,1,183,15,7,6,186,133,0,66,184,0,15,1,6,192,107,49,43
aeb,Tunisian Spoken Arabic,11.7M,True,True,True,Tunisian Arabic,,Afro-Asiatic,6996,1,187,11,4,11,184,42,4,153,185,0,14,0,0,199,42,10,147
syl,Sylheti,11.5M,False,False,True,Sylheti,,Indo-European,6564,1,192,6,2,9,188,146,0,53,185,0,14,0,0,199,138,5,56
kng,Koongo,11.3M,True,False,True,Koongo,,Atlantic-Congo,3944,1,160,38,8,4,187,106,2,91,48,0,151,0,0,199,1,38,160
swc,Congo Swahili,11.1M,False,False,True,Congo Swahili,,Atlantic-Congo,2421,1,167,31,3,9,187,36,1,162,66,0,133,0,11,188,28,7,164
afb,Gulf Spoken Arabic,11.1M,True,False,True,Gulf Arabic,,Afro-Asiatic,3097,1,179,19,10,8,181,78,3,118,59,0,140,0,0,199,1,37,161
lug,Ganda,11.0M,True,True,True,Ganda,,Atlantic-Congo,2940,1,159,39,12,8,179,94,3,102,1,0,198,0,0,199,1,37,161
cdo,Min Dong Chinese,10.9M,True,False,True,Min Dong Chinese,1.0,Sino-Tibetan,4822,1,179,19,6,32,161,127,0,72,140,0,59,1,4,194,102,27,70
sna,Shona,10.9M,True,True,True,Shona,1.0,Atlantic-Congo,785,1,174,24,7,8,184,1,4,194,1,0,198,0,9,190,1,14,184
rkt,Rangpuri,10.8M,False,False,True,Rangpuri,,Indo-European,5918,1,184,14,4,18,177,128,1,70,188,0,11,0,0,199,120,5,74
acw,Hijazi Spoken Arabic,10.8M,True,False,True,Hijazi Arabic,,Afro-Asiatic,3207,1,147,51,11,5,183,27,3,169,54,0,145,0,0,199,21,16,162
ibb,Ibibio,10.8M,True,False,True,Ibibio,0.0,Atlantic-Congo,638,1,171,27,7,10,182,1,7,191,1,0,198,0,0,199,1,8,190
uig,Uyghur,10.5M,True,True,True,Uighur,1.0,Turkic,7059,1,178,20,7,29,163,70,1,128,98,0,101,1,1,197,70,6,123
ayp,North Mesopotamian Spoken Arabic,10.3M,True,False,True,North Mesopotamian Arabic,,Afro-Asiatic,5363,1,173,25,6,11,182,148,0,51,187,0,12,0,0,199,142,2,55
srp,Serbian,10.2M,True,True,True,Serbian,4.0,Indo-European,6230,1,157,41,11,7,181,24,6,169,55,0,144,1,3,195,23,10,166
tso,Tsonga,10.0M,True,True,True,Tsonga,1.0,Atlantic-Congo,6958,1,183,15,22,24,153,138,4,57,187,0,12,0,0,199,131,8,60
aka,Akan,9.9M,True,False,True,Akan,1.0,Atlantic-Congo,333,1,163,35,10,2,187,2,2,195,1,0,198,1,7,191,1,2,196
bgc,Haryanvi,9.8M,True,False,True,Haryanvi,,Indo-European,3173,1,175,23,17,23,159,119,0,80,56,0,143,0,0,199,23,33,143
hae,Eastern Oromo,9.7M,True,False,True,Eastern Oromo,,Afro-Asiatic,989,1,180,18,6,4,189,61,1,137,0,0,199,1,6,192,1,22,176
heb,Hebrew,9.3M,True,False,True,Hebrew,3.0,Afro-Asiatic,381,1,172,26,17,3,179,1,2,196,1,0,198,0,0,199,1,3,195
cat,Catalan,9.3M,True,True,True,Catalan,4.0,Indo-European,580,1,141,57,5,4,190,1,6,192,0,0,199,2,10,187,1,7,191
azj,North Azerbaijani,9.1M,True,False,True,North Azerbaijani,,Turkic,5297,1,165,33,5,14,180,123,0,76,144,0,55,0,0,199,100,22,77
knc,Yerwa Kanuri,9.0M,True,False,True,Central Kanuri,,Saharan,409,1,198,0,5,3,191,17,2,180,1,0,198,1,3,195,1,9,189
tir,Tigrigna,8.8M,True,False,True,Tigrinya,2.0,Afro-Asiatic,1206,1,182,16,7,12,180,1,2,196,1,0,198,0,0,199,1,4,194
pst,Central Pashto,8.5M,True,False,True,Central Pashto,,Indo-European,456,1,136,62,13,2,184,18,3,178,1,0,198,1,4,194,1,20,178
gax,Borana-Arsi-Guji Oromo,8.4M,True,False,True,Borana-Arsi-Guji Oromo,,Afro-Asiatic,972,1,179,19,9,7,183,4,14,181,1,0,198,0,0,199,1,32,166
tgk,Tajik,8.3M,True,True,True,Tajik,1.0,Indo-European,6619,1,193,5,3,8,188,30,39,130,185,0,14,0,2,197,3,158,38
kri,Krio,8.2M,True,False,True,Krio,,Indo-European,1042,1,154,44,4,8,187,106,0,93,1,0,198,0,0,199,1,63,135
kik,Gikuyu,8.2M,True,True,True,Kikuyu,1.0,Atlantic-Congo,3842,1,161,37,14,6,179,105,2,92,0,0,199,0,0,199,1,29,169
suk,Sukuma,8.1M,True,True,True,Sukuma,0.0,Atlantic-Congo,1194,1,178,20,5,9,185,1,8,190,1,0,198,0,0,199,1,20,178
rwr,Marwari,7.9M,False,False,True,Marwari (India),,Indo-European,769,1,148,50,20,7,172,50,6,143,1,0,198,0,0,199,1,38,160
umb,Umbundu,7.8M,True,False,True,Umbundu,0.0,Atlantic-Congo,1219,1,180,18,3,5,191,44,2,153,1,0,198,1,14,184,1,41,157
mad,Madura,7.8M,True,False,True,Madurese,0.0,Austronesian,1082,1,195,3,2,5,192,1,4,194,1,0,198,1,22,176,1,11,187
bul,Bulgarian,7.7M,True,True,True,Bulgarian,3.0,Indo-European,351,1,126,72,11,2,186,5,4,190,1,0,198,4,10,185,1,6,192
sat,Santhali,7.6M,True,True,True,Santali,1.0,Austroasiatic,1314,1,198,0,12,17,170,86,2,111,0,0,199,0,0,199,1,25,173
plt,Merina Malagasy,7.5M,True,True,True,Plateau Malagasy,,Austronesian,453,1,187,11,1,3,195,21,7,171,1,0,198,0,4,195,1,21,177
kab,Amazigh,7.5M,True,False,True,Kabyle,1.0,Afro-Asiatic,652,1,177,21,4,7,188,1,6,192,0,0,199,0,0,199,1,21,177
slk,Slovak,7.3M,True,True,True,Slovak,3.0,Indo-European,6363,1,168,30,18,13,168,33,2,164,189,0,10,0,0,199,31,7,161
kas,Kashmiri,7.1M,True,False,True,Kashmiri,1.0,Indo-European,395,1,132,66,15,6,178,1,5,193,1,0,198,2,15,182,1,5,193
lua,Luba-Kasai,7.1M,True,False,True,Luba-Lulua,,Atlantic-Congo,4384,1,183,15,6,12,181,127,1,71,47,0,152,1,5,193,1,68,130
vah,Varhadi-Nagpuri,7.0M,False,False,True,Varhadi-Nagpuri,,Indo-European,7166,1,191,7,15,12,172,101,1,97,187,0,12,0,0,199,99,8,92
ins,Indian Sign Language,6.8M,True,False,True,Indian Sign Language,,Sign Language,3348,1,189,9,12,6,181,25,3,171,52,0,147,0,0,199,19,8,172
hrv,Croatian,6.8M,True,True,True,Croatian,4.0,Indo-European,633,1,143,55,12,7,180,4,6,189,1,0,198,0,3,196,1,13,185
tuk,Turkmen,6.6M,True,False,True,Turkmen,1.0,Turkic,7008,1,189,9,3,15,181,97,0,102,134,0,65,1,4,194,93,8,98
gug,Paraguayan Guaraní,6.5M,True,False,True,Paraguayan Guaraní,,Tupian,100,1,198,0,1,10,188,1,3,195,1,0,198,1,12,186,1,4,194
ilo,Ilocano,6.5M,True,True,True,Iloko,1.0,Austronesian,642,1,190,8,5,7,187,1,5,193,1,0,198,0,0,199,1,14,184
gsw,Swiss German,6.5M,True,False,True,Swiss German,,Indo-European,6562,1,169,29,10,24,165,136,2,61,186,0,13,0,0,199,129,5,65
hil,Hiligaynon,6.3M,True,True,True,Hiligaynon,0.0,Austronesian,999,1,194,4,1,2,196,1,3,195,1,0,198,0,0,199,1,11,187
nod,Northern Thai,6.0M,True,False,True,Northern Thai,,Tai-Kadai,5309,1,195,3,7,6,186,103,3,93,186,0,13,0,0,199,102,6,91
bjj,Kanauji,6.0M,True,False,True,Kanauji,,Indo-European,3610,1,146,52,29,12,158,123,0,76,50,0,149,0,0,199,18,35,146
dje,Zarma,6.0M,True,False,True,Zarma,,Songhay,7654,1,185,13,2,158,39,113,0,86,189,0,10,0,0,199,110,1,88
fuc,Pulaar,5.9M,True,False,True,Pulaar,,Atlantic-Congo,5847,1,184,14,7,15,177,103,0,96,162,0,37,0,0,199,84,20,95
shi,Tachelhit,5.8M,True,False,True,Tachelhit,,Afro-Asiatic,1182,1,181,17,16,3,180,1,7,191,1,0,198,1,13,185,1,10,188
nap,Napoletano-Calabrese,5.7M,True,False,True,Neapolitan,1.0,Indo-European,5136,1,153,45,5,11,183,112,3,84,182,0,17,0,0,199,108,9,82
fub,Adamawa Fulfulde,5.7M,True,True,True,Adamawa Fulfulde,,Atlantic-Congo,616,1,170,28,7,6,186,1,4,194,1,0,198,0,3,196,1,7,191
bns,Bundeli,5.6M,True,False,True,Bundeli,,Indo-European,1261,1,157,41,22,5,172,43,2,154,1,0,198,0,13,186,1,45,153
dan,Danish,5.6M,True,True,True,Danish,3.0,Indo-European,2497,1,167,31,7,35,157,1,5,193,65,0,134,0,5,194,1,14,184
fin,Finnish,5.6M,True,True,True,Finnish,4.0,Uralic,370,1,197,1,3,3,193,1,3,195,1,0,198,0,4,195,1,6,192
ewe,Éwé,5.5M,True,True,True,Ewe,1.0,Atlantic-Congo,368,1,164,34,12,3,184,1,4,194,1,0,198,1,1,197,1,2,196
mup,Malvi,5.4M,False,False,True,Malvi,,Indo-European,4537,1,179,19,9,65,125,120,4,75,185,0,14,0,0,199,117,10,72
ayl,Libyan Spoken Arabic,5.4M,True,False,True,Libyan Arabic,,Afro-Asiatic,533,1,176,22,1,4,194,1,7,191,1,0,198,0,2,197,1,34,164
czh,Huizhou Chinese,5.4M,True,False,True,Huizhou Chinese,,Sino-Tibetan,3263,1,192,6,5,56,138,80,33,86,53,0,146,0,0,199,20,11,168
nor,Norwegian,5.3M,True,False,True,Norwegian,,Indo-European,5366,1,184,14,9,15,175,123,3,73,184,0,15,0,0,199,118,8,73
ckb,Central Kurdish,5.3M,True,True,True,Central Kurdish,,Indo-European,2247,1,167,31,11,4,184,1,9,189,70,0,129,0,8,191,1,14,184
bci,Baoulé,5.3M,True,True,True,Baoulé,,Atlantic-Congo,544,1,169,29,7,5,187,1,6,192,1,0,198,1,25,173,1,9,189
kam,Kamba,5.3M,True,False,True,Kamba (Kenya),0.0,Atlantic-Congo,1016,1,176,22,5,5,189,1,6,192,1,0,198,0,0,199,1,13,185
luo,Dholuo,5.3M,True,False,True,Luo (Kenya and Tanzania),,Nilotic,425,1,198,0,10,3,186,1,2,196,1,0,198,1,7,191,1,1,197
hno,Northern Hindko,5.3M,False,False,True,Northern Hindko,,Indo-European,5291,1,153,45,20,5,174,128,0,71,184,0,15,0,0,199,118,5,76
