code,language,speakers,URIEL,learned,distance,name,joshi,family
ars,Najdi Spoken Arabic,18.1M,True,False,True,Najdi Arabic,,Afro-Asiatic
khm,Khmer,18.0M,True,True,True,Central Khmer,1.0,Austroasiatic
afr,Afrikaans,17.7M,True,True,True,Afrikaans,3.0,Indo-European
sin,Sinhala,17.6M,True,False,True,Sinhala,0.0,Indo-European
fuv,Nigerian Fulfulde,16.6M,True,True,True,Nigerian Fulfulde,,Atlantic-Congo
kaz,Kazakh,16.5M,True,False,True,Kazakh,3.0,Turkic
hne,Chhattisgarhi,16.3M,False,True,True,Chhattisgarhi,,Indo-European
ceb,Cebuano,16.0M,True,True,True,Cebuano,3.0,Austronesian
kmr,Northern Kurdish,15.8M,True,True,True,Northern Kurdish,,Indo-European
asm,Assamese,15.3M,True,False,True,Assamese,1.0,Indo-European
tts,Northeastern Thai,15.0M,False,False,True,Northeastern Thai,,Tai-Kadai
azb,South Azerbaijani,14.9M,True,True,True,South Azerbaijani,1.0,Turkic
bar,Bavarian,14.6M,True,False,True,Bavarian,1.0,Indo-European
kin,Kinyarwanda,14.5M,True,True,True,Kinyarwanda,1.0,Atlantic-Congo
nya,Chichewa,14.4M,True,True,True,Nyanja,1.0,Atlantic-Congo
bam,Bamanankan,14.2M,True,False,True,Bambara,1.0,Mande
tsn,Setswana,13.7M,True,True,True,Tswana,2.0,Atlantic-Congo
nso,Northern Sotho,13.7M,True,True,True,Pedi,1.0,Atlantic-Congo
sot,Southern Sotho,13.5M,True,True,True,Southern Sotho,0.0,Atlantic-Congo
ell,Greek,13.1M,True,True,True,Modern Greek (1453-),,Indo-European
swe,Swedish,13.1M,True,True,True,Swedish,4.0,Indo-European
hat,Haitian Creole,13.0M,True,False,True,Haitian,2.0,Indo-European
ctg,Chittagonian,13.0M,True,False,True,Chittagonian,,Indo-European
run,Rundi,12.9M,True,False,True,Rundi,0.0,Atlantic-Congo
dyu,Jula,12.8M,True,False,True,Dyula,0.0,Mande
dcc,Deccan,12.8M,True,False,True,Deccan,,Indo-European
hun,Hungarian,12.6M,True,True,True,Hungarian,4.0,Uralic
ayn,Sanaani Spoken Arabic,12.6M,True,False,True,Sanaani Arabic,,Afro-Asiatic
ktu,Kituba,12.4M,True,True,True,Kituba (Democratic Republic of Congo),0.0,Atlantic-Congo
wol,Wolof,12.4M,True,False,True,Wolof,2.0,Atlantic-Congo
vjk,Bajjika,12.3M,,,,,,
ces,Czech,12.3M,True,True,True,Czech,4.0,Indo-European
sck,Sadri,12.1M,False,False,True,Sadri,,Indo-European
wes,Cameroon Pidgin,12.0M,False,False,True,Cameroon Pidgin,,Indo-European
mos,Moore,11.9M,True,True,True,Mossi,,Atlantic-Congo
acq,Ta'izzi-Adeni Spoken Arabic,11.9M,True,False,True,Ta'izzi-Adeni Arabic,,Afro-Asiatic
mnp,Min Bei Chinese,11.7M,False,False,True,Min Bei Chinese,,Sino-Tibetan
aeb,Tunisian Spoken Arabic,11.7M,True,True,True,Tunisian Arabic,,Afro-Asiatic
syl,Sylheti,11.5M,False,False,True,Sylheti,,Indo-European
kng,Koongo,11.3M,True,False,True,Koongo,,Atlantic-Congo
swc,Congo Swahili,11.1M,False,False,True,Congo Swahili,,Atlantic-Congo
afb,Gulf Spoken Arabic,11.1M,True,False,True,Gulf Arabic,,Afro-Asiatic
lug,Ganda,11.0M,True,True,True,Ganda,,Atlantic-Congo
cdo,Min Dong Chinese,10.9M,True,False,True,Min Dong Chinese,1.0,Sino-Tibetan
sna,Shona,10.9M,True,True,True,Shona,1.0,Atlantic-Congo
rkt,Rangpuri,10.8M,False,False,True,Rangpuri,,Indo-European
acw,Hijazi Spoken Arabic,10.8M,True,False,True,Hijazi Arabic,,Afro-Asiatic
ibb,Ibibio,10.8M,True,False,True,Ibibio,0.0,Atlantic-Congo
uig,Uyghur,10.5M,True,True,True,Uighur,1.0,Turkic
ayp,North Mesopotamian Spoken Arabic,10.3M,True,False,True,North Mesopotamian Arabic,,Afro-Asiatic
srp,Serbian,10.2M,True,True,True,Serbian,4.0,Indo-European
tso,Tsonga,10.0M,True,True,True,Tsonga,1.0,Atlantic-Congo
aka,Akan,9.9M,True,False,True,Akan,1.0,Atlantic-Congo
bgc,Haryanvi,9.8M,True,False,True,Haryanvi,,Indo-European
hae,Eastern Oromo,9.7M,True,False,True,Eastern Oromo,,Afro-Asiatic
heb,Hebrew,9.3M,True,False,True,Hebrew,3.0,Afro-Asiatic
cat,Catalan,9.3M,True,True,True,Catalan,4.0,Indo-European
azj,North Azerbaijani,9.1M,True,False,True,North Azerbaijani,,Turkic
knc,Yerwa Kanuri,9.0M,True,False,True,Central Kanuri,,Saharan
tir,Tigrigna,8.8M,True,False,True,Tigrinya,2.0,Afro-Asiatic
pst,Central Pashto,8.5M,True,False,True,Central Pashto,,Indo-European
gax,Borana-Arsi-Guji Oromo,8.4M,True,False,True,Borana-Arsi-Guji Oromo,,Afro-Asiatic
tgk,Tajik,8.3M,True,True,True,Tajik,1.0,Indo-European
kri,Krio,8.2M,True,False,True,Krio,,Indo-European
kik,Gikuyu,8.2M,True,True,True,Kikuyu,1.0,Atlantic-Congo
suk,Sukuma,8.1M,True,True,True,Sukuma,0.0,Atlantic-Congo
rwr,Marwari,7.9M,False,False,True,Marwari (India),,Indo-European
umb,Umbundu,7.8M,True,False,True,Umbundu,0.0,Atlantic-Congo
mad,Madura,7.8M,True,False,True,Madurese,0.0,Austronesian
bul,Bulgarian,7.7M,True,True,True,Bulgarian,3.0,Indo-European
sat,Santhali,7.6M,True,True,True,Santali,1.0,Austroasiatic
plt,Merina Malagasy,7.5M,True,True,True,Plateau Malagasy,,Austronesian
kab,Amazigh,7.5M,True,False,True,Kabyle,1.0,Afro-Asiatic
slk,Slovak,7.3M,True,True,True,Slovak,3.0,Indo-European
kas,Kashmiri,7.1M,True,False,True,Kashmiri,1.0,Indo-European
lua,Luba-Kasai,7.1M,True,False,True,Luba-Lulua,,Atlantic-Congo
