code,URIEL,joshi,family,# of NA properties,# of zero properties,# of one properties,mean distance,min distance,Q1 distance,median distance,Q3 distance,max distance,mode distance,# of zero distances,# of mode distances,# of one distances
eng,True,5.0,Indo-European,0,0,0,0.33567839195979876,0.0,0.2,0.3,0.4,1.0,0.3,5,36,2
cmn,True,5.0,Sino-Tibetan,0,0,0,0.3673366834170856,0.0,0.2,0.4,0.5,1.0,0.2,2,24,9
hin,True,4.0,Indo-European,0,0,0,0.26783919597989936,0.0,0.1,0.2,0.4,1.0,0.2,25,61,2
spa,True,5.0,Indo-European,0,0,0,0.3884422110552762,0.0,0.2,0.4,0.5,1.0,0.4,4,41,4
fra,True,5.0,Indo-European,0,0,0,0.328643216080402,0.0,0.2,0.3,0.4,1.0,0.2,10,43,2
arb,True,,Afro-Asiatic,0,0,0,0.47185929648241254,0.0,0.2,0.5,0.7,1.0,0.2,7,25,10
ben,True,3.0,Indo-European,0,0,0,0.2688442211055275,0.0,0.1,0.3,0.4,1.0,0.1,14,52,2
por,True,4.0,Indo-European,0,0,0,0.3693467336683417,0.0,0.2,0.3,0.5,1.0,0.4,6,34,5
rus,True,4.0,Indo-European,0,0,0,0.3251256281407036,0.0,0.2,0.3,0.4,1.0,0.2,1,40,2
urd,True,3.0,Indo-European,0,0,0,0.38994974874371857,0.0,0.1,0.3,0.5,1.0,0.1,11,23,34
ind,True,3.0,Austronesian,0,0,0,0.4532663316582915,0.0,0.3,0.4,0.6,1.0,0.4,3,26,7
deu,True,5.0,Indo-European,0,0,0,0.2849246231155777,0.0,0.2,0.3,0.4,1.0,0.3,16,50,2
jpn,True,5.0,Japonic,0,0,0,0.4351758793969848,0.0,0.3,0.4,0.6,1.0,0.3,2,12,5
pcm,True,0.0,Indo-European,0,0,0,0.40904522613065336,0.0,0.2,0.4,0.5,1.0,0.4,9,33,10
arz,True,3.0,Afro-Asiatic,0,0,0,0.24321608040201062,0.0,0.15000000000000002,0.2,0.3,1.0,0.2,5,41,2
mar,True,2.0,Indo-European,0,0,0,0.4195979899497487,0.0,0.15000000000000002,0.3,0.7,1.0,0.1,7,28,7
tel,True,1.0,Dravidian,0,0,0,0.31155778894472363,0.0,0.2,0.3,0.4,1.0,0.2,12,53,2
tur,True,4.0,Turkic,0,0,0,0.33417085427135707,0.0,0.2,0.3,0.4,1.0,0.2,6,39,5
tam,True,3.0,Dravidian,0,0,0,0.3929648241206032,0.0,0.2,0.3,0.5,1.0,0.2,6,37,6
yue,True,1.0,Sino-Tibetan,0,0,0,0.40251256281407016,0.0,0.2,0.4,0.5,1.0,0.4,8,23,6
vie,True,4.0,Austroasiatic,0,0,0,0.3105527638190957,0.0,0.1,0.3,0.5,1.0,0.1,11,17,4
wuu,True,,Sino-Tibetan,0,0,0,0.4105527638190956,0.0,0.2,0.4,0.6,1.0,0.2,8,23,9
tgl,True,3.0,Austronesian,0,0,0,0.4477386934673366,0.0,0.2,0.5,0.6,1.0,0.5,4,18,6
kor,True,4.0,Koreanic,0,0,0,0.4286432160804023,0.0,0.3,0.4,0.6,1.0,0.4,2,13,2
pes,True,,Indo-European,0,0,0,0.2989949748743721,0.0,0.1,0.2,0.3,1.0,0.2,3,36,8
hau,True,2.0,Afro-Asiatic,0,0,0,0.325628140703518,0.0,0.2,0.3,0.45,1.0,0.2,11,35,4
swh,True,,Atlantic-Congo,0,0,0,0.36482412060301483,0.0,0.2,0.3,0.45,1.0,0.3,6,38,20
jav,True,1.0,Austronesian,0,0,0,0.39497487437185935,0.0,0.2,0.4,0.5,1.0,0.5,7,23,2
ita,True,4.0,Indo-European,0,0,0,0.38190954773869323,0.0,0.2,0.3,0.5,1.0,0.3,10,34,6
pnb,False,,Indo-European,0,0,0,0.6296482412060301,0.0,0.3,0.7,1.0,1.0,1.0,8,16,75
guj,True,1.0,Indo-European,0,0,0,0.4115577889447237,0.0,0.2,0.3,0.7,1.0,0.3,14,24,5
tha,True,3.0,Tai-Kadai,0,0,0,0.39648241206030116,0.0,0.15000000000000002,0.4,0.5,1.0,0.1,7,16,4
kan,True,1.0,Dravidian,0,0,0,0.44924623115577894,0.0,0.2,0.4,0.8,1.0,0.8,10,28,10
amh,True,2.0,Afro-Asiatic,0,0,0,0.23467336683417112,0.0,0.2,0.2,0.3,1.0,0.2,9,52,2
bho,True,1.0,Indo-European,0,0,0,0.4653266331658291,0.0,0.2,0.5,0.7,1.0,0.5,11,24,4
pan,True,,Indo-European,0,0,0,0.3005025125628139,0.0,0.1,0.3,0.4,1.0,0.3,19,53,3
nan,True,1.0,Sino-Tibetan,0,0,0,0.3969849246231156,0.0,0.1,0.3,0.7,1.0,0.0,32,19,16
cjy,True,,Sino-Tibetan,0,0,0,0.37386934673366845,0.0,0.1,0.3,0.6,1.0,0.1,18,21,8
apc,True,,Afro-Asiatic,0,0,0,0.3497487437185934,0.0,0.1,0.3,0.5,1.0,0.1,4,28,10
yor,True,2.0,Atlantic-Congo,0,0,0,0.7683417085427134,0.0,0.5,1.0,1.0,1.0,1.0,5,11,116
hak,True,1.0,Sino-Tibetan,0,0,0,0.3587939698492464,0.0,0.2,0.4,0.5,1.0,0.2,10,28,2
mya,True,1.0,Sino-Tibetan,0,0,0,0.321105527638191,0.0,0.1,0.3,0.4,1.0,0.1,9,37,2
apd,True,,Afro-Asiatic,0,0,0,0.5070351758793971,0.0,0.3,0.4,0.8,1.0,1.0,5,24,39
arq,True,,Afro-Asiatic,0,0,0,0.5010050251256281,0.0,0.2,0.5,0.8,1.0,0.8,5,23,6
pol,True,4.0,Indo-European,0,0,0,0.40150753768844183,0.0,0.3,0.3,0.5,1.0,0.3,8,33,4
lin,True,1.0,Atlantic-Congo,0,0,0,0.38793969849246246,0.0,0.2,0.4,0.6,1.0,0.2,16,23,6
ory,False,1.0,Indo-European,0,0,0,0.8331658291457282,0.0,0.7,1.0,1.0,1.0,1.0,2,19,125
ary,True,,Afro-Asiatic,0,0,0,0.3346733668341708,0.0,0.2,0.3,0.4,1.0,0.4,2,39,3
hsn,False,,Sino-Tibetan,0,0,0,0.8010050251256284,0.0,0.5,1.0,1.0,1.0,1.0,4,8,136
mal,True,1.0,Dravidian,0,0,0,0.43567839195979874,0.0,0.2,0.4,0.7,1.0,0.2,5,27,10
snd,True,1.0,Indo-European,0,0,0,0.35477386934673366,0.0,0.1,0.3,0.5,1.0,0.1,9,31,4
ukr,True,3.0,Indo-European,0,0,0,0.43366834170854235,0.0,0.2,0.3,0.7,1.0,0.3,5,29,6
sun,True,1.0,Austronesian,0,0,0,0.42814070351758776,0.0,0.2,0.4,0.6,1.0,0.4,4,25,4
ibo,True,1.0,Atlantic-Congo,0,0,0,0.34321608040201024,0.0,0.2,0.3,0.5,1.0,0.2,9,38,2
prs,True,0.0,Indo-European,0,0,0,0.3557788944723619,0.0,0.2,0.4,0.5,1.0,0.4,9,37,8
pbu,False,,Indo-European,0,0,0,0.4552763819095476,0.0,0.2,0.5,0.8,1.0,0.8,24,11,13
uzn,True,,Turkic,0,0,0,0.4070351758793972,0.0,0.2,0.4,0.6,1.0,0.2,7,17,9
zul,True,2.0,Atlantic-Congo,0,0,0,0.41658291457286434,0.0,0.3,0.4,0.5,1.0,0.4,10,35,4
skr,False,,Indo-European,0,0,0,0.393969849246231,0.0,0.2,0.3,0.6,1.0,0.1,15,30,6
npi,False,1.0,Indo-European,0,0,0,0.527638190954774,0.0,0.2,0.5,1.0,1.0,1.0,6,34,53
aec,True,,Afro-Asiatic,0,0,0,0.4562814070351758,0.0,0.2,0.4,0.7,1.0,0.1,5,19,11
nld,True,4.0,Indo-European,0,0,0,0.42713567839195943,0.0,0.3,0.4,0.5,1.0,0.3,6,31,5
ron,True,3.0,Indo-European,0,0,0,0.32110552763819084,0.0,0.2,0.3,0.4,1.0,0.3,11,40,3
gan,False,1.0,Sino-Tibetan,0,0,0,0.39045226130653266,0.0,0.2,0.4,0.6,1.0,0.4,19,18,3
som,True,1.0,Afro-Asiatic,0,0,0,0.3231155778894473,0.0,0.2,0.3,0.4,1.0,0.2,5,42,5
mai,True,1.0,Indo-European,0,0,0,0.4683417085427133,0.0,0.2,0.5,0.8,1.0,0.1,12,24,10
mag,True,0.0,Indo-European,0,0,0,0.39195979899497474,0.0,0.15000000000000002,0.3,0.6,1.0,0.2,18,23,16
pbt,False,,Indo-European,0,0,0,0.484422110552764,0.0,0.35,0.5,0.6,1.0,0.5,5,16,18
xho,True,2.0,Atlantic-Congo,0,0,0,0.5140703517587947,0.0,0.4,0.4,0.7,1.0,0.4,6,25,12
gaz,True,,Afro-Asiatic,0,0,0,0.5854271356783919,0.0,0.4,0.7,0.8,1.0,0.7,8,17,24
zlm,True,3.0,Austronesian,0,0,0,0.8115577889447235,0.0,0.5,1.0,1.0,1.0,1.0,3,10,143
acm,True,,Afro-Asiatic,0,0,0,0.3894472361809046,0.0,0.1,0.3,0.7,1.0,0.0,30,17,12
ars,True,,Afro-Asiatic,0,0,0,0.42311557788944676,0.0,0.1,0.4,0.7,1.0,0.1,22,19,8
khm,True,1.0,Austroasiatic,0,0,0,0.34824120603015074,0.0,0.2,0.4,0.5,1.0,0.5,7,18,2
afr,True,3.0,Indo-European,0,0,0,0.3989949748743718,0.0,0.3,0.4,0.5,1.0,0.4,7,39,3
sin,True,0.0,Indo-European,0,0,0,0.3341708542713568,0.0,0.2,0.3,0.4,1.0,0.2,5,49,3
fuv,True,,Atlantic-Congo,0,0,0,0.4336683417085428,0.0,0.2,0.4,0.6,1.0,0.4,6,28,5
kaz,True,3.0,Turkic,0,0,0,0.39246231155778893,0.0,0.1,0.3,0.6,1.0,0.1,18,26,12
hne,False,,Indo-European,0,0,0,0.4703517587939702,0.0,0.2,0.4,0.7,1.0,0.7,10,19,30
ceb,True,3.0,Austronesian,0,0,0,0.5336683417085426,0.0,0.3,0.5,0.8,1.0,0.5,3,9,11
kmr,True,,Indo-European,0,0,0,0.4070351758793972,0.0,0.1,0.3,0.7,1.0,0.1,16,26,12
asm,True,1.0,Indo-European,0,0,0,0.4417085427135678,0.0,0.2,0.4,0.8,1.0,0.1,11,25,8
tts,False,,Tai-Kadai,0,0,0,0.5045226130653264,0.0,0.3,0.5,0.7,1.0,0.4,5,16,29
azb,True,1.0,Turkic,0,0,0,0.2341708542713569,0.0,0.1,0.2,0.3,1.0,0.2,9,48,2
