code,URIEL,joshi,family,# of NA properties,# of zero properties,# of one properties,mean distance,min distance,Q1 distance,median distance,Q3 distance,max distance,mode distance,# of zero distances,# of mode distances,# of one distances
bar,True,1.0,Indo-European,0,0,0,0.527638190954774,0.0,0.2,0.5,0.8,1.0,0.2,7,22,33
kin,True,1.0,Atlantic-Congo,0,0,0,0.35477386934673366,0.0,0.2,0.3,0.5,1.0,0.3,10,31,5
nya,True,1.0,Atlantic-Congo,0,0,0,0.47638190954773846,0.0,0.3,0.5,0.7,1.0,0.4,4,18,10
bam,True,1.0,Mande,0,0,0,0.3748743718592964,0.0,0.1,0.3,0.5,1.0,0.1,13,20,17
tsn,True,2.0,Atlantic-Congo,0,0,0,0.4959798994974876,0.0,0.2,0.5,0.8,1.0,0.5,6,26,25
nso,True,1.0,Atlantic-Congo,0,0,0,0.4366834170854271,0.0,0.1,0.4,0.7,1.0,0.0,31,12,11
sot,True,0.0,Atlantic-Congo,0,0,0,0.558291457286432,0.0,0.3,0.6,0.8,1.0,1.0,8,16,44
ell,True,,Indo-European,0,0,0,0.26633165829145744,0.0,0.2,0.2,0.4,1.0,0.2,11,47,2
swe,True,4.0,Indo-European,0,0,0,0.3809045226130649,0.0,0.2,0.3,0.5,1.0,0.3,3,34,3
hat,True,2.0,Indo-European,0,0,0,0.5472361809045228,0.0,0.4,0.6,0.7,1.0,0.6,16,10,3
ctg,True,,Indo-European,0,0,0,0.5492462311557785,0.0,0.3,0.5,1.0,1.0,1.0,7,20,61
run,True,0.0,Atlantic-Congo,0,0,0,0.3688442211055275,0.0,0.2,0.3,0.5,1.0,0.3,7,34,2
dyu,True,0.0,Mande,0,0,0,0.3929648241206029,0.0,0.2,0.4,0.5,1.0,0.4,6,26,12
dcc,True,,Indo-European,0,0,0,0.3005025125628143,0.0,0.1,0.2,0.4,1.0,0.2,6,35,7
hun,True,4.0,Uralic,0,0,0,0.31758793969849236,0.0,0.2,0.3,0.4,1.0,0.3,13,50,4
ayn,True,,Afro-Asiatic,0,0,0,0.5145728643216084,0.0,0.2,0.5,0.9,1.0,1.0,16,9,38
ktu,True,0.0,Atlantic-Congo,0,0,0,0.428643216080402,0.0,0.2,0.4,0.6,1.0,0.4,4,26,5
wol,True,2.0,Atlantic-Congo,0,0,0,0.42864321608040173,0.0,0.3,0.4,0.6,1.0,0.3,5,24,5
ces,True,4.0,Indo-European,0,0,0,0.2688442211055275,0.0,0.1,0.2,0.4,1.0,0.3,21,34,5
sck,False,,Indo-European,0,0,0,0.3663316582914571,0.0,0.2,0.4,0.4,1.0,0.4,16,17,13
wes,False,,Indo-European,0,0,0,0.46130653266331695,0.0,0.2,0.4,0.6,1.0,0.4,5,25,15
mos,True,,Atlantic-Congo,0,0,0,0.5557788944723614,0.0,0.3,0.6,0.7,1.0,0.7,8,9,11
acq,True,,Afro-Asiatic,0,0,0,0.8211055276381907,0.0,0.8,1.0,1.0,1.0,1.0,2,9,140
mnp,False,,Sino-Tibetan,0,0,0,0.41055276381909545,0.0,0.2,0.4,0.55,1.0,0.2,7,21,6
aeb,True,,Afro-Asiatic,0,0,0,0.48040201005025135,0.0,0.2,0.5,0.7,1.0,0.2,4,21,11
syl,False,,Indo-European,0,0,0,0.4402010050251256,0.0,0.3,0.4,0.6499999999999999,1.0,0.3,2,27,9
kng,True,,Atlantic-Congo,0,0,0,0.37035175879397014,0.0,0.1,0.4,0.6,1.0,0.1,8,20,4
swc,False,,Atlantic-Congo,0,0,0,0.3954773869346734,0.0,0.2,0.3,0.5,1.0,0.3,3,29,9
afb,True,,Afro-Asiatic,0,0,0,0.3738693467336684,0.0,0.2,0.3,0.6,1.0,0.2,10,30,8
lug,True,,Atlantic-Congo,0,0,0,0.39145728643216104,0.0,0.2,0.3,0.6,1.0,0.1,12,27,8
cdo,True,1.0,Sino-Tibetan,0,0,0,0.5130653266331662,0.0,0.2,0.5,0.7,1.0,0.2,6,24,32
sna,True,1.0,Atlantic-Congo,0,0,0,0.4331658291457288,0.0,0.3,0.4,0.5,1.0,0.4,7,33,8
rkt,False,,Indo-European,0,0,0,0.435678391959799,0.0,0.2,0.4,0.6,1.0,0.1,4,23,18
acw,True,,Afro-Asiatic,0,0,0,0.36080402010050255,0.0,0.1,0.3,0.6,1.0,0.2,11,32,5
ibb,True,0.0,Atlantic-Congo,0,0,0,0.40452261306532683,0.0,0.2,0.4,0.6,1.0,0.2,7,37,10
uig,True,1.0,Turkic,0,0,0,0.5864321608040199,0.0,0.4,0.6,0.8,1.0,1.0,7,14,29
ayp,True,,Afro-Asiatic,0,0,0,0.45075376884422114,0.0,0.2,0.5,0.6,1.0,0.6,6,13,11
srp,True,4.0,Indo-European,0,0,0,0.3889447236180908,0.0,0.1,0.4,0.6,1.0,0.1,11,18,7
tso,True,1.0,Atlantic-Congo,0,0,0,0.4778894472361809,0.0,0.2,0.4,0.8,1.0,0.1,22,16,24
aka,True,1.0,Atlantic-Congo,0,0,0,0.3311557788944727,0.0,0.2,0.3,0.45,1.0,0.2,10,41,2
bgc,True,,Indo-European,0,0,0,0.39547738693467355,0.0,0.1,0.3,0.7,1.0,0.1,17,24,23
hae,True,,Afro-Asiatic,0,0,0,0.39195979899497524,0.0,0.2,0.3,0.6499999999999999,1.0,0.2,6,33,4
heb,True,3.0,Afro-Asiatic,0,0,0,0.22311557788944753,0.0,0.1,0.2,0.3,1.0,0.2,17,44,3
cat,True,4.0,Indo-European,0,0,0,0.3954773869346732,0.0,0.2,0.3,0.5,1.0,0.3,5,37,4
azj,True,,Turkic,0,0,0,0.3633165829145732,0.0,0.2,0.3,0.5,1.0,0.2,5,22,14
knc,True,,Saharan,0,0,0,0.3170854271356788,0.0,0.2,0.3,0.5,1.0,0.2,5,24,3
tir,True,2.0,Afro-Asiatic,0,0,0,0.44874371859296525,0.0,0.2,0.3,0.8,1.0,0.2,7,36,12
pst,True,,Indo-European,0,0,0,0.2954773869346733,0.0,0.1,0.2,0.4,1.0,0.2,13,43,2
gax,True,,Afro-Asiatic,0,0,0,0.3974874371859297,0.0,0.2,0.3,0.6,1.0,0.2,9,28,7
tgk,True,1.0,Indo-European,0,0,0,0.3547738693467337,0.0,0.2,0.3,0.5,1.0,0.2,3,29,8
kri,True,,Indo-European,0,0,0,0.5170854271356781,0.0,0.3,0.5,0.7,1.0,0.5,4,18,8
kik,True,1.0,Atlantic-Congo,0,0,0,0.4145728643216079,0.0,0.2,0.4,0.7,1.0,0.2,14,31,6
suk,True,0.0,Atlantic-Congo,0,0,0,0.42562814070351745,0.0,0.2,0.3,0.6,1.0,0.3,5,22,9
rwr,False,,Indo-European,0,0,0,0.379899497487437,0.0,0.2,0.3,0.5,1.0,0.3,20,36,7
umb,True,0.0,Atlantic-Congo,0,0,0,0.4673366834170856,0.0,0.3,0.4,0.7,1.0,0.4,3,16,5
mad,True,0.0,Austronesian,0,0,0,0.5085427135678393,0.0,0.3,0.5,0.7,1.0,0.2,2,19,5
bul,True,3.0,Indo-European,0,0,0,0.2668341708542714,0.0,0.2,0.2,0.4,1.0,0.2,11,52,2
sat,True,1.0,Austroasiatic,0,0,0,0.4613065326633166,0.0,0.2,0.4,0.8,1.0,0.4,12,29,17
plt,True,,Austronesian,0,0,0,0.37286432160803995,0.0,0.3,0.3,0.4,1.0,0.3,1,24,3
kab,True,1.0,Afro-Asiatic,0,0,0,0.3969849246231155,0.0,0.2,0.3,0.5,1.0,0.2,4,39,7
slk,True,3.0,Indo-European,0,0,0,0.46080402010050264,0.0,0.2,0.4,0.8,1.0,0.8,18,18,13
kas,True,1.0,Indo-European,0,0,0,0.28341708542713556,0.0,0.1,0.2,0.4,1.0,0.1,15,52,6
lua,True,,Atlantic-Congo,0,0,0,0.35728643216080386,0.0,0.2,0.3,0.4,1.0,0.3,6,34,12
vah,False,,Indo-European,0,0,0,0.4030150753768844,0.0,0.2,0.4,0.6,1.0,0.2,15,17,12
ins,True,,Sign Language,0,0,0,0.38241206030150765,0.0,0.2,0.3,0.5,1.0,0.2,12,28,6
hrv,True,4.0,Indo-European,0,0,0,0.3723618090452261,0.0,0.2,0.3,0.45,1.0,0.3,12,40,7
tuk,True,1.0,Turkic,0,0,0,0.40000000000000024,0.0,0.3,0.4,0.5,1.0,0.3,3,30,15
gug,True,,Tupian,0,0,0,0.6321608040201002,0.0,0.5,0.6,0.8,1.0,0.8,1,19,10
ilo,True,1.0,Austronesian,0,0,0,0.45175879396984925,0.0,0.2,0.5,0.6,1.0,0.5,5,17,7
gsw,True,,Indo-European,0,0,0,0.4391959798994977,0.0,0.2,0.4,0.7,1.0,0.1,10,29,24
hil,True,0.0,Austronesian,0,0,0,0.4743718592964822,0.0,0.3,0.5,0.6,1.0,0.5,1,12,2
nod,True,,Tai-Kadai,0,0,0,0.39798994974874385,0.0,0.2,0.4,0.6,1.0,0.1,7,22,6
bjj,True,,Indo-European,0,0,0,0.38542713567839176,0.0,0.1,0.3,0.6,1.0,0.1,29,25,12
dje,True,,Songhay,0,0,0,0.8819095477386936,0.0,1.0,1.0,1.0,1.0,1.0,2,10,158
fuc,True,,Atlantic-Congo,0,0,0,0.41708542713567825,0.0,0.2,0.3,0.6,1.0,0.3,7,27,15
shi,True,,Afro-Asiatic,0,0,0,0.3130653266331657,0.0,0.1,0.3,0.4,1.0,0.1,16,31,3
nap,True,1.0,Indo-European,0,0,0,0.3698492462311559,0.0,0.2,0.3,0.5,1.0,0.2,5,32,11
fub,True,,Atlantic-Congo,0,0,0,0.3904522613065329,0.0,0.2,0.3,0.6,1.0,0.2,7,25,6
bns,True,,Indo-European,0,0,0,0.3824120603015075,0.0,0.2,0.4,0.6,1.0,0.4,22,25,5
dan,True,3.0,Indo-European,0,0,0,0.44170854271356746,0.0,0.25,0.4,0.5,1.0,0.3,7,25,35
fin,True,4.0,Uralic,0,0,0,0.3271356783919594,0.0,0.2,0.3,0.4,1.0,0.3,3,36,3
ewe,True,1.0,Atlantic-Congo,0,0,0,0.34723618090452296,0.0,0.2,0.3,0.5,1.0,0.2,12,38,3
mup,False,,Indo-European,0,0,0,0.5271356783919598,0.0,0.2,0.4,1.0,1.0,1.0,9,22,65
ayl,True,,Afro-Asiatic,0,0,0,0.36482412060301517,0.0,0.2,0.3,0.5,1.0,0.1,1,24,4
czh,True,,Sino-Tibetan,0,0,0,0.5231155778894472,0.0,0.2,0.4,1.0,1.0,1.0,5,30,56
nor,True,,Indo-European,0,0,0,0.4638190954773865,0.0,0.2,0.4,0.8,1.0,0.8,9,23,15
ckb,True,,Indo-European,0,0,0,0.4155778894472359,0.0,0.2,0.3,0.6,1.0,0.3,11,36,4
bci,True,,Atlantic-Congo,0,0,0,0.4110552763819093,0.0,0.2,0.4,0.5,1.0,0.4,7,27,5
kam,True,0.0,Atlantic-Congo,0,0,0,0.4301507537688441,0.0,0.2,0.3,0.6,1.0,0.3,5,27,5
luo,True,,Nilotic,0,0,0,0.3055276381909547,0.0,0.2,0.3,0.4,1.0,0.3,10,47,3
hno,False,,Indo-European,0,0,0,0.4080402010050249,0.0,0.1,0.4,0.7,1.0,0.1,20,12,5
sag,True,1.0,Atlantic-Congo,0,0,0,0.5713567839195984,0.0,0.5,0.7,0.7,1.0,0.7,8,10,11
mey,True,,Afro-Asiatic,0,0,0,0.3703517587939696,0.0,0.2,0.3,0.5,1.0,0.3,6,31,7
kir,True,1.0,Turkic,0,0,0,0.30050251256281413,0.0,0.15000000000000002,0.2,0.4,1.0,0.2,7,49,2
tat,True,1.0,Turkic,0,0,0,0.612562814070352,0.0,0.5,0.7,0.8,1.0,0.7,8,14,23
ayh,True,,Afro-Asiatic,0,0,0,0.4562814070351762,0.0,0.2,0.5,0.7,1.0,0.7,11,20,5
lir,False,,Pidgin,0,0,0,0.5135678391959798,0.0,0.3,0.5,0.7,1.0,0.5,4,15,8
lmn,True,,Indo-European,0,0,0,0.41608040201005014,0.0,0.2,0.4,0.6,1.0,0.4,9,29,4
san,True,2.0,Indo-European,0,0,0,0.4814070351758794,0.0,0.2,0.4,0.8,1.0,0.4,9,28,14
gpe,False,,Indo-European,0,0,0,0.3402010050251258,0.0,0.1,0.3,0.55,1.0,0.2,26,21,7
bew,True,,Austronesian,0,0,0,0.5618090452261308,0.0,0.4,0.5,0.8,1.0,0.4,2,17,15
min,True,1.0,Austronesian,0,0,0,0.43969849246231113,0.0,0.25,0.4,0.6,1.0,0.5,3,19,5
fuf,True,,Atlantic-Congo,0,0,0,0.3889447236180904,0.0,0.2,0.4,0.5,1.0,0.3,5,28,11
ssw,True,1.0,Atlantic-Congo,0,0,0,0.5939698492462314,0.0,0.5,0.6,0.7,1.0,0.7,7,8,17
scn,True,1.0,Indo-European,0,0,0,0.3608040201005022,0.0,0.2,0.3,0.4,1.0,0.3,2,28,10
shn,True,0.0,Tai-Kadai,0,0,0,0.644723618090452,0.0,0.3,0.7,1.0,1.0,1.0,6,12,73
tiv,True,0.0,Atlantic-Congo,0,0,0,0.4301507537688445,0.0,0.2,0.4,0.6,1.0,0.4,5,32,10
sou,False,,Tai-Kadai,0,0,0,0.6211055276381909,0.0,0.4,0.6,1.0,1.0,1.0,17,16,71
lao,True,2.0,Tai-Kadai,0,0,0,0.4281407035175876,0.0,0.2,0.4,0.6,1.0,0.1,6,19,5
sid,True,,Afro-Asiatic,0,0,0,0.37135678391959814,0.0,0.2,0.3,0.5,1.0,0.2,9,30,3
bug,True,1.0,Austronesian,0,0,0,0.5030150753768843,0.0,0.3,0.5,0.7,1.0,0.5,3,12,3
awa,True,0.0,Indo-European,0,0,0,0.42763819095477407,0.0,0.2,0.4,0.7,1.0,0.4,16,28,8
aln,True,,Indo-European,0,0,0,0.34271356783919615,0.0,0.1,0.3,0.5,1.0,0.2,19,27,9
mtr,False,,Indo-European,0,0,0,0.4768844221105527,0.0,0.3,0.5,0.6,1.0,0.6,5,18,6
csl,True,0.0,Sign Language,0,0,0,0.3864321608040202,0.0,0.2,0.4,0.5,1.0,0.4,9,33,9
