code,URIEL,learned,distance,name,joshi,family
aaa,True,False,True,Ghotuo,0.0,Atlantic-Congo
aab,True,False,True,Alumu-Tesu,,Atlantic-Congo
aac,True,False,True,Ari,,Suki-Gogodala
aad,True,False,True,Amal,,Sepik
aae,True,False,True,Arbëreshë Albanian,,Indo-European
aaf,True,False,True,Aranadan,,Dravidian
aag,True,False,True,Ambrak,,Nuclear Torricelli
aah,True,False,True,Abu' Arapesh,,Nuclear Torricelli
aai,True,True,True,Arifama-Miniafia,,Austronesian
aak,True,True,True,Ankave,,Angan
aal,True,False,True,Afade,,Afro-Asiatic
aam,False,False,True,?,,Bookkeeping
aan,True,False,True,Anambé,,Tupian
aao,True,False,True,Algerian Saharan Arabic,,Afro-Asiatic
aap,True,False,True,Pará Arára,,Cariban
aaq,True,False,True,Eastern Abnaki,,Algic
aar,True,False,True,Afar,0.0,Afro-Asiatic
aas,True,False,True,Aasáx,,Afro-Asiatic
aat,True,False,True,Arvanitika Albanian,,Indo-European
aau,True,True,True,Abau,0.0,Sepik
aaw,True,False,True,Solong,,Austronesian
aax,True,False,True,Mandobo Atas,,Nuclear Trans New Guinea
aay,False,False,True,?,,Bookkeeping
aaz,True,True,True,Amarasi,,Austronesian
aba,True,False,True,Abé,,Atlantic-Congo
abb,True,False,True,Bankon,0.0,Atlantic-Congo
abc,True,False,True,Ambala Ayta,,Austronesian
abd,True,False,True,Manide,,Austronesian
abe,True,False,True,Western Abnaki,,Algic
abf,True,False,True,Abai Sungai,,Austronesian
abg,True,False,True,Abaga,,Nuclear Trans New Guinea
abh,True,False,True,Tajiki Arabic,,Afro-Asiatic
abi,True,False,True,Abidji,0.0,Atlantic-Congo
abj,True,False,True,Aka-Bea,,Great Andamanese
abk,True,False,True,Abkhazian,1.0,Abkhaz-Adyge
abl,True,False,True,Lampung Nyo,,Austronesian
abm,True,False,True,Abanyom,,Atlantic-Congo
abn,True,False,True,Abua,,Atlantic-Congo
abo,True,False,True,Abon,,Atlantic-Congo
abp,True,False,True,Abellen Ayta,,Austronesian
abq,True,False,True,Abaza,0.0,Abkhaz-Adyge
abr,True,False,True,Abron,,Atlantic-Congo
abs,True,False,True,Ambonese Malay,,Austronesian
abt,True,True,True,Ambulas,0.0,Ndu
abu,True,False,True,Abure,,Atlantic-Congo
abv,True,False,True,Baharna Arabic,,Afro-Asiatic
abw,True,False,True,Pal,,Nuclear Trans New Guinea
abx,True,True,True,Inabaknon,,Austronesian
aby,True,True,True,Aneme Wake,,Yareban
abz,True,False,True,Abui,0.0,Timor-Alor-Pantar
aca,True,True,True,Achagua,0.0,Arawakan
acb,True,False,True,Áncá,,Bookkeeping
acc,False,False,True,?,,Bookkeeping
acd,True,False,True,Gikyode,,Atlantic-Congo
ace,True,False,True,Achinese,,Austronesian
acf,True,True,True,Saint Lucian Creole French,,Indo-European
ach,True,True,True,Acoli,,Nilotic
aci,True,False,True,Aka-Cari,0.0,Great Andamanese
ack,True,False,True,Aka-Kora,,Great Andamanese
acl,True,False,True,Akar-Bale,,Great Andamanese
acm,True,False,True,Mesopotamian Arabic,,Afro-Asiatic
acn,True,True,True,Achang,0.0,Sino-Tibetan
acp,True,False,True,Eastern Acipa,,Atlantic-Congo
acq,True,False,True,Ta'izzi-Adeni Arabic,,Afro-Asiatic
acr,True,True,True,Achi,,Mayan
acs,True,False,True,Acroá,,Nuclear-Macro-Je
act,True,False,True,Achterhoeks,,Indo-European
acu,True,True,True,Achuar-Shiwiar,,Chicham
acv,True,False,True,Achumawi,0.0,Palaihnihan
acw,True,False,True,Hijazi Arabic,,Afro-Asiatic
acx,True,False,True,Omani Arabic,,Afro-Asiatic
acy,True,False,True,Cypriot Arabic,,Afro-Asiatic
acz,True,False,True,Acheron,,Narrow Talodi
ada,True,False,True,Adangme,,Atlantic-Congo
adb,False,False,True,Adabe,,Bookkeeping
adc,True,False,True,?,,?
add,True,False,True,Dzodinka,,Atlantic-Congo
ade,True,False,True,Adele,,Atlantic-Congo
adf,True,False,True,Dhofari Arabic,,Afro-Asiatic
adg,True,False,True,Andegerebinha,,Pama-Nyungan
adh,True,False,True,Adhola,,Nilotic
adi,True,True,True,Adi,,Sino-Tibetan
adj,True,True,True,Adioukrou,0.0,Atlantic-Congo
adl,True,True,True,Galo,0.0,Sino-Tibetan
adn,True,False,True,Adang,0.0,Timor-Alor-Pantar
ado,True,False,True,Abu,,Lower Sepik-Ramu
adp,False,False,True,?,,Bookkeeping
adq,True,False,True,Adangbe,,Atlantic-Congo
adr,True,False,True,Adonara,,Austronesian
ads,True,False,True,Adamorobe Sign Language,0.0,Sign Language
adt,True,False,True,Adnyamathanha,,Pama-Nyungan
adu,False,False,True,Aduge,,Bookkeeping
adw,True,False,True,Amundava,,Tupian
adx,True,False,True,Amdo Tibetan,,Sino-Tibetan
