code,URIEL,learned,distance,name,joshi,family
ady,True,False,True,Adyghe,1.0,Abkhaz-Adyge
adz,True,True,True,Adzera,0.0,Austronesian
aea,True,False,True,Areba,,Pama-Nyungan
aeb,True,True,True,Tunisian Arabic,,Afro-Asiatic
aec,True,False,True,Saidi Arabic,,Afro-Asiatic
aed,True,False,True,Argentine Sign Language,,Sign Language
aee,True,False,True,Northeast Pashai,,Indo-European
aek,True,False,True,Haeke,,Austronesian
ael,True,False,True,Ambele,,Atlantic-Congo
aem,True,False,True,Arem,,Austroasiatic
aen,True,False,True,Armenian Sign Language,,Sign Language
aeq,True,False,True,Aer,,Indo-European
aer,True,False,True,Eastern Arrernte,,Pama-Nyungan
aes,True,False,True,Alsea,0.0,?
aeu,True,True,True,Akeu,,Sino-Tibetan
aew,True,False,True,Ambakich,,Keram
aey,True,True,True,Amele,0.0,Nuclear Trans New Guinea
aez,True,False,True,Aeka,,Nuclear Trans New Guinea
afb,True,False,True,Gulf Arabic,,Afro-Asiatic
afd,True,False,True,Andai,,Arafundi
afe,True,False,True,Putukwam,,Atlantic-Congo
afg,True,False,True,Afghan Sign Language,,Sign Language
afh,False,False,True,Afrihili,,Artificial Language
afi,True,False,True,Akrukay,,Lower Sepik-Ramu
afk,True,False,True,Nanubae,,Arafundi
afn,True,False,True,Defaka,0.0,Ijoid
afo,True,False,True,Eloyi,,Atlantic-Congo
afp,True,False,True,Tapei,,Arafundi
afr,True,True,True,Afrikaans,3.0,Indo-European
afs,True,False,True,Afro-Seminole Creole,,Indo-European
aft,True,False,True,Afitti,,Nyimang
afu,True,False,True,Awutu,,Atlantic-Congo
afz,True,False,True,Obokuitai,0.0,Lakes Plain
aga,True,False,True,Aguano,,Unattested
agb,True,False,True,Legbo,,Atlantic-Congo
agc,True,False,True,Agatu,,Atlantic-Congo
agd,True,True,True,Agarabi,0.0,Nuclear Trans New Guinea
age,True,False,True,Angal,,Nuclear Trans New Guinea
agf,True,False,True,Arguni,,Austronesian
agg,True,True,True,Angor,,Senagi
agh,True,False,True,Ngelima,,Atlantic-Congo
agi,True,False,True,Agariya,,Unattested
agj,True,False,True,Argobba,,Afro-Asiatic
agk,True,False,True,Isarog Agta,,Austronesian
agl,True,False,True,Fembe,,East Strickland
agm,True,True,True,Angaataha,,Angan
agn,True,True,True,Agutaynen,,Austronesian
ago,True,False,True,Tainae,,Angan
agp,True,False,True,?,,Austronesian
agq,True,False,True,Aghem,0.0,Atlantic-Congo
agr,True,True,True,Aguaruna,0.0,Chicham
ags,True,False,True,Esimbi,,Atlantic-Congo
agt,True,True,True,Central Cagayan Agta,,Austronesian
agu,True,True,True,Aguacateco,,Mayan
agv,True,False,True,Remontado Dumagat,,Austronesian
agw,True,True,True,Kahua,,Austronesian
agx,True,False,True,Aghul,0.0,Nakh-Daghestanian
agy,True,False,True,Southern Alta,,Austronesian
agz,True,False,True,Mt. Iriga Agta,,Austronesian
aha,True,False,True,Ahanta,,Atlantic-Congo
ahb,True,False,True,Axamb,,Austronesian
ahg,True,False,True,Qimant,,Afro-Asiatic
ahh,True,False,True,Aghu,0.0,Nuclear Trans New Guinea
ahi,True,False,True,Tiagbamrin Aizi,,Kru
ahk,True,False,True,Akha,0.0,Sino-Tibetan
ahl,True,False,True,Igo,,Atlantic-Congo
ahm,True,False,True,Mobumrin Aizi,,Kru
ahn,True,False,True,Àhàn,,Atlantic-Congo
aho,True,False,True,Ahom,,Tai-Kadai
ahp,True,False,True,Aproumu Aizi,,Atlantic-Congo
ahr,False,False,True,Ahirani,,Bookkeeping
ahs,True,False,True,Ashe,,Atlantic-Congo
aht,True,False,True,Ahtena,,Athabaskan-Eyak-Tlingit
aia,True,True,True,Arosi,0.0,Austronesian
aib,True,False,True,Ainu (China),,Turkic
aic,True,False,True,Ainbai,,Border
aid,True,False,True,Alngith,,Pama-Nyungan
aie,True,False,True,Amara,0.0,Austronesian
aif,True,False,True,Agi,,Nuclear Torricelli
aig,True,False,True,Antigua and Barbuda Creole English,,Indo-European
aih,True,False,True,Ai-Cham,,Tai-Kadai
aii,True,True,True,Assyrian Neo-Aramaic,,Afro-Asiatic
aij,True,False,True,Lishanid Noshan,,Afro-Asiatic
aik,True,False,True,Ake,,Atlantic-Congo
ail,True,False,True,Aimele,,Bosavi
aim,True,True,True,Aimol,,Sino-Tibetan
ain,True,False,True,Ainu (Japan),,Ainu
aio,True,False,True,Aiton,,Tai-Kadai
aip,True,False,True,Burumakok,,Nuclear Trans New Guinea
aiq,True,False,True,Aimaq,,Indo-European
air,True,False,True,Airoran,,Greater Kwerba
ais,True,False,True,Nataoran Amis,,Austronesian
ait,True,False,True,Arikem,,Tupian
aiw,True,False,True,Aari,0.0,South Omotic
aix,True,False,True,Aighon,,Austronesian
aiy,True,False,True,Ali,,Atlantic-Congo
aja,True,False,True,Aja (Sudan),,Kresh-Aja
ajg,True,False,True,Aja (Benin),,Atlantic-Congo
aji,True,True,True,Ajië,0.0,Austronesian
ajn,False,False,True,Andajin,,Worrorran
ajp,True,False,True,South Levantine Arabic,,Afro-Asiatic
ajt,True,False,True,Judeo-Tunisian Arabic,,Afro-Asiatic
aju,True,False,True,Judeo-Moroccan Arabic,,Afro-Asiatic
ajw,True,False,True,Ajawa,,Afro-Asiatic
ajz,True,True,True,Amri Karbi,,Sino-Tibetan
aka,True,False,True,Akan,1.0,Atlantic-Congo
akb,True,False,True,Batak Angkola,,Austronesian
akc,True,False,True,Mpur,0.0,?
akd,True,False,True,Ukpet-Ehom,,Atlantic-Congo
ake,True,True,True,Akawaio,0.0,Cariban
akf,True,False,True,Akpa,,Atlantic-Congo
akg,True,False,True,Anakalangu,,Austronesian
akh,True,True,True,Angal Heneng,,Nuclear Trans New Guinea
aki,True,False,True,Aiome,,Lower Sepik-Ramu
akj,True,False,True,Aka-Jeru,,Great Andamanese
akk,True,False,True,Akkadian,,Afro-Asiatic
akl,True,False,True,Aklanon,0.0,Austronesian
akm,True,False,True,Aka-Bo,,Great Andamanese
ako,True,False,True,Akurio,,Cariban
akp,True,False,True,Siwu,,Atlantic-Congo
akq,True,False,True,Ak,,Sepik
akr,True,False,True,Araki,0.0,Austronesian
aks,True,False,True,Akaselem,,Atlantic-Congo
akt,True,False,True,Akolet,,Austronesian
aku,True,False,True,Akum,,Atlantic-Congo
akv,True,False,True,Akhvakh,0.0,Nakh-Daghestanian
akw,True,False,True,Akwa,0.0,Atlantic-Congo
akx,True,False,True,Aka-Kede,0.0,Great Andamanese
aky,True,False,True,Aka-Kol,,Great Andamanese
akz,True,False,True,Alabama,0.0,Muskogean
ala,True,False,True,Alago,,Atlantic-Congo
alb,True,True,True,?,,?
alc,True,False,True,Qawasqar,0.0,Kawesqar
ald,True,True,True,Alladian,0.0,Atlantic-Congo
ale,True,False,True,Aleut,0.0,Eskimo-Aleut
alf,True,False,True,Alege,,Atlantic-Congo
alh,True,False,True,Alawa,0.0,Mangarrayi-Maran
ali,True,False,True,Amaimon,,Nuclear Trans New Guinea
alj,True,False,True,Alangan,,Austronesian
alk,True,False,True,Alak,,Austroasiatic
all,True,False,True,Allar,,Dravidian
alm,True,False,True,Amblong,,Austronesian
aln,True,False,True,Gheg Albanian,,Indo-European
alo,True,False,True,Larike-Wakasihu,,Austronesian
alp,True,True,True,Alune,0.0,Austronesian
alq,True,True,True,Algonquin,0.0,Algic
alr,True,False,True,Alutor,0.0,Chukotko-Kamchatkan
als,True,False,True,Tosk Albanian,,Indo-European
alt,True,False,True,Southern Altai,,Turkic
alu,True,False,True,'Are'are,0.0,Austronesian
alw,True,False,True,Alaba-K’abeena,,Afro-Asiatic
alx,True,False,True,Amol,,Nuclear Torricelli
aly,True,False,True,Alyawarr,,Pama-Nyungan
alz,True,False,True,Alur,,Nilotic
ama,True,False,True,Amanayé,,Tupian
amb,True,False,True,Ambo,,Atlantic-Congo
amc,True,False,True,Amahuaca,0.0,Pano-Tacanan
ame,True,True,True,Yanesha',,Arawakan
amf,True,False,True,Hamer-Banna,,South Omotic
amg,True,False,True,Amurdak,,Iwaidjan Proper
amh,True,True,True,Amharic,2.0,Afro-Asiatic
ami,True,False,True,Amis,0.0,Austronesian
amj,True,False,True,Amdang,,Furan
amk,True,True,True,Ambai,0.0,Austronesian
aml,True,False,True,War-Jaintia,,Austroasiatic
amm,True,True,True,Ama (Papua New Guinea),,Left May
amn,True,True,True,Amanab,0.0,Border
amo,True,False,True,Amo,0.0,Atlantic-Congo
amp,True,True,True,Alamblak,0.0,Sepik
amq,True,False,True,Amahai,,Austronesian
amr,True,True,True,Amarakaeri,0.0,Harakmbut
ams,True,False,True,Southern Amami-Oshima,,Japonic
amt,True,False,True,Amto,,Amto-Musan
amu,True,True,True,Guerrero Amuzgo,,Otomanguean
amv,True,False,True,Ambelau,,Austronesian
amw,True,False,True,Western Neo-Aramaic,,Afro-Asiatic
amx,True,False,True,Anmatyerre,,Pama-Nyungan
amy,True,False,True,Ami,,Western Daly
amz,True,False,True,Atampaya,,Pama-Nyungan
ana,True,False,True,Andaqui,,?
anb,True,False,True,Andoa,,Zaparoan
anc,True,False,True,Ngas,,Afro-Asiatic
and,True,False,True,Ansus,,Austronesian
ane,True,False,True,Xârâcùù,0.0,Austronesian
anf,True,False,True,Animere,,Atlantic-Congo
ang,True,False,True,Old English (ca. 450-1100),,Indo-European
anh,True,False,True,Nend,0.0,Nuclear Trans New Guinea
ani,True,False,True,Andi,0.0,Nakh-Daghestanian
anj,True,False,True,Anor,,Lower Sepik-Ramu
ank,True,False,True,Goemai,0.0,Afro-Asiatic
anl,True,False,True,Anu-Hkongso Chin,,Sino-Tibetan
anm,True,False,True,Anal,,Sino-Tibetan
ann,True,True,True,Obolo,0.0,Atlantic-Congo
ano,True,False,True,Andoque,,?
anp,True,False,True,Angika,,Indo-European
anq,True,False,True,Jarawa (India),,Jarawa-Onge
anr,True,False,True,Andh,,Indo-European
ans,True,False,True,Anserma,,Chocoan
ant,True,False,True,Antakarinya,,Pama-Nyungan
anu,True,False,True,Anuak,,Nilotic
anv,True,True,True,Denya,,Atlantic-Congo
anw,True,False,True,Anaang,,Atlantic-Congo
anx,True,False,True,Andra-Hus,,Austronesian
any,True,False,True,Anyin,,Atlantic-Congo
anz,True,False,True,Anem,,?
aoa,True,False,True,Angolar,0.0,Indo-European
aob,True,False,True,Abom,,Anim
aoc,True,False,True,Pemon,0.0,Cariban
aod,True,False,True,Andarum,,Lower Sepik-Ramu
aoe,True,False,True,Angal Enen,,Nuclear Trans New Guinea
aof,True,False,True,Bragat,,Nuclear Torricelli
aog,True,False,True,Angoram,,Lower Sepik-Ramu
aoh,True,False,True,Arma,,Unattested
aoi,True,False,True,Anindilyakwa,0.0,Gunwinyguan
aoj,True,True,True,Mufian,0.0,Nuclear Torricelli
aok,True,False,True,Arhö,,Austronesian
aol,True,False,True,Alor,,Austronesian
aom,True,True,True,Ömie,0.0,Koiarian
aon,True,False,True,Bumbita Arapesh,,Nuclear Torricelli
aor,True,False,True,Aore,,Austronesian
aos,True,False,True,Taikat,,Border
aot,True,False,True,Atong (India),,Sino-Tibetan
aou,True,False,True,A'ou,,Tai-Kadai
aox,True,False,True,Atorada,,Arawakan
aoz,True,False,True,Uab Meto,,Austronesian
apb,True,False,True,Sa'a,0.0,Austronesian
apc,True,False,True,North Levantine Arabic,,Afro-Asiatic
apd,True,False,True,Sudanese Arabic,,Afro-Asiatic
ape,True,True,True,Bukiyip,,Nuclear Torricelli
apf,True,False,True,Pahanan Agta,,Austronesian
apg,True,False,True,Ampanang,,Austronesian
aph,True,False,True,Athpariya,,Sino-Tibetan
api,True,False,True,Apiaká,,Tupian
apj,True,False,True,Jicarilla Apache,,Athabaskan-Eyak-Tlingit
apk,True,False,True,Kiowa Apache,,Athabaskan-Eyak-Tlingit
apl,True,False,True,Lipan Apache,,Athabaskan-Eyak-Tlingit
apm,True,False,True,Mescalero-Chiricahua Apache,,Athabaskan-Eyak-Tlingit
apn,True,True,True,Apinayé,0.0,Nuclear-Macro-Je
apo,True,False,True,Ambul,,Austronesian
app,True,False,True,Apma,,Austronesian
apq,True,False,True,A-Pucikwar,0.0,Great Andamanese
apr,True,True,True,Arop-Lokep,0.0,Austronesian
aps,True,False,True,Arop-Sissano,,Austronesian
apt,True,True,True,Apatani,0.0,Sino-Tibetan
apu,True,True,True,Apurinã,0.0,Arawakan
apv,True,False,True,Alapmunte,,Unattested
apw,True,True,True,Western Apache,,Athabaskan-Eyak-Tlingit
apx,True,False,True,Aputai,,Austronesian
apy,True,True,True,Apalaí,0.0,Cariban
apz,True,True,True,Safeyoka,,Angan
aqc,True,False,True,Archi,0.0,Nakh-Daghestanian
aqd,True,False,True,Ampari Dogon,,Dogon
aqg,True,False,True,Arigidi,,Atlantic-Congo
aqm,True,False,True,Atohwaim,,Kayagaric
aqn,True,False,True,Northern Alta,,Austronesian
aqp,True,False,True,Atakapa,0.0,?
aqr,True,False,True,Arhâ,,Austronesian
aqt,False,False,True,Angaité,,Lengua-Mascoy
aqz,True,False,True,Akuntsu,,Tupian
ara,False,False,True,Arabic,5.0,?
arb,True,True,True,Standard Arabic,,Afro-Asiatic
arc,False,False,True,Official Aramaic (700-300 BCE),,Afro-Asiatic
ard,True,False,True,Arabana,0.0,Pama-Nyungan
are,True,False,True,Western Arrarnta,,Pama-Nyungan
arg,True,False,True,Aragonese,1.0,Indo-European
arh,True,False,True,Arhuaco,,Chibchan
ari,True,False,True,Arikara,0.0,Caddoan
arj,True,False,True,Arapaso,,Tucanoan
ark,True,False,True,Arikapú,,Nuclear-Macro-Je
arl,True,True,True,Arabela,0.0,Zaparoan
arn,True,True,True,Mapudungun,0.0,Araucanian
aro,True,False,True,Araona,0.0,Pano-Tacanan
arp,True,False,True,Arapaho,0.0,Algic
arq,True,False,True,Algerian Arabic,,Afro-Asiatic
arr,True,False,True,Karo (Brazil),,Tupian
ars,True,False,True,Najdi Arabic,,Afro-Asiatic
aru,True,False,True,Aruá (Amazonas State),,Arawan
arv,True,False,True,Arbore,0.0,Afro-Asiatic
arw,True,False,True,Arawak,0.0,Arawakan
arx,True,False,True,Aruá (Rodonia State),,Tupian
ary,True,True,True,Moroccan Arabic,,Afro-Asiatic
arz,True,False,True,Egyptian Arabic,3.0,Afro-Asiatic
asa,True,False,True,Asu (Tanzania),,Atlantic-Congo
asb,True,False,True,Assiniboine,,Siouan
asc,True,False,True,Casuarina Coast Asmat,,Nuclear Trans New Guinea
asd,True,False,True,Asas,,Nuclear Trans New Guinea
ase,True,False,True,American Sign Language,,Sign Language
asf,True,False,True,Australian Sign Language,,Sign Language
asg,True,True,True,Cishingini,,Atlantic-Congo
ash,True,False,True,Abishira,,?
asi,True,False,True,Buruwai,,Nuclear Trans New Guinea
asj,True,False,True,Sari,,Atlantic-Congo
ask,True,False,True,Ashkun,,Indo-European
asl,True,False,True,Asilulu,,Austronesian
asm,True,False,True,Assamese,1.0,Indo-European
asn,True,False,True,Xingú Asuriní,,Tupian
aso,True,True,True,Dano,,Nuclear Trans New Guinea
asp,True,False,True,Algerian Sign Language,,Sign Language
asq,True,False,True,Austrian Sign Language,,Sign Language
asr,True,False,True,Asuri,,Austroasiatic
ass,True,False,True,Ipulo,,Atlantic-Congo
ast,True,False,True,Asturian,1.0,Indo-European
asu,True,False,True,Tocantins Asurini,,Tupian
asv,True,False,True,Asoa,,Central Sudanic
asw,True,False,True,Australian Aborigines Sign Language,,Sign Language
asx,True,False,True,Muratayak,,Nuclear Trans New Guinea
asy,True,False,True,Yaosakor Asmat,,Nuclear Trans New Guinea
asz,True,False,True,As,,Austronesian
ata,True,True,True,Pele-Ata,,?
atb,True,True,True,Zaiwa,,Sino-Tibetan
atc,True,False,True,Atsahuaca,,Pano-Tacanan
atd,True,True,True,Ata Manobo,,Austronesian
ate,True,False,True,Atemble,,Nuclear Trans New Guinea
atg,True,True,True,Ivbie North-Okpela-Arhe,,Atlantic-Congo
ati,True,False,True,Attié,,Atlantic-Congo
atj,True,False,True,Atikamekw,1.0,Algic
atk,True,False,True,Ati,,Austronesian
atl,True,False,True,Mt. Iraya Agta,,Austronesian
atm,True,False,True,Ata,,Austronesian
atn,True,False,True,Ashtiani,,Indo-European
ato,True,False,True,Atong (Cameroon),,Atlantic-Congo
atp,True,False,True,Pudtol Atta,,Austronesian
atq,True,False,True,Aralle-Tabulahan,0.0,Austronesian
atr,True,False,True,Waimiri-Atroari,,Cariban
ats,True,False,True,Gros Ventre,,Algic
att,True,True,True,Pamplona Atta,,Austronesian
atu,True,False,True,Reel,,Nilotic
atv,True,False,True,Northern Altai,,Turkic
atw,True,False,True,Atsugewi,0.0,Palaihnihan
atx,True,False,True,Arutani,,?
aty,True,False,True,Aneityum,,Austronesian
atz,True,False,True,Arta,,Austronesian
aua,True,False,True,Asumboa,,Austronesian
aub,True,False,True,Alugu,,Sino-Tibetan
auc,True,True,True,Waorani,0.0,?
aud,True,False,True,Anuta,,Austronesian
aue,True,False,True,?,,Kxa
aug,True,False,True,Aguna,,Atlantic-Congo
auh,True,False,True,Aushi,,Atlantic-Congo
aui,True,True,True,Anuki,,Austronesian
auj,True,False,True,Awjilah,,Afro-Asiatic
auk,True,False,True,Heyo,,Nuclear Torricelli
aul,True,False,True,Aulua,0.0,Austronesian
aum,True,False,True,Asu (Nigeria),,Atlantic-Congo
aun,True,False,True,Molmo One,,Nuclear Torricelli
auo,True,False,True,Auyokawa,,Afro-Asiatic
aup,True,False,True,Makayam,,Anim
auq,True,False,True,Anus,,Austronesian
aur,True,False,True,Aruek,,Nuclear Torricelli
aut,True,False,True,Austral,,Austronesian
auu,True,False,True,Auye,,Nuclear Trans New Guinea
auw,True,False,True,Awyi,0.0,Border
aux,True,False,True,Aurá,,Tupian
auy,True,True,True,Awiyaana,,Nuclear Trans New Guinea
auz,True,False,True,Uzbeki Arabic,,Afro-Asiatic
ava,True,False,True,Avaric,,Nakh-Daghestanian
avb,True,False,True,Avau,,Austronesian
avd,True,False,True,Alviri-Vidari,,Indo-European
ave,True,False,True,Avestan,,Indo-European
avi,True,False,True,Avikam,0.0,Atlantic-Congo
avk,True,False,True,Kotava,,Artificial Language
avl,True,False,True,Eastern Egyptian Bedawi Arabic,,Afro-Asiatic
avm,False,False,True,Angkamuthi,,Pama-Nyungan
avn,True,False,True,Avatime,0.0,Atlantic-Congo
avo,True,False,True,Agavotaguerra,,Unattested
avs,True,False,True,Aushiri,,Zaparoan
avt,True,True,True,Au,0.0,Nuclear Torricelli
avu,True,False,True,Avokaya,0.0,Central Sudanic
avv,True,False,True,Avá-Canoeiro,,Tupian
awa,True,False,True,Awadhi,0.0,Indo-European
awb,True,True,True,Awa (Papua New Guinea),,Nuclear Trans New Guinea
awc,True,False,True,Cicipu,,Atlantic-Congo
awe,True,False,True,Awetí,,Tupian
awg,True,False,True,Anguthimri,0.0,Pama-Nyungan
awh,True,False,True,Awbono,,Bayono-Awbono
awi,True,False,True,Aekyom,0.0,Kamula-Elevala
awk,True,False,True,Awabakal,,Pama-Nyungan
awm,True,False,True,Arawum,,Nuclear Trans New Guinea
awn,True,False,True,Awngi,0.0,Afro-Asiatic
awo,True,False,True,Awak,,Atlantic-Congo
awr,True,False,True,Awera,,Lakes Plain
aws,True,False,True,South Awyu,,Nuclear Trans New Guinea
awt,True,False,True,Araweté,,Tupian
awu,True,False,True,Central Awyu,,Nuclear Trans New Guinea
awv,True,False,True,Jair Awyu,,Nuclear Trans New Guinea
aww,True,False,True,Awun,,Sepik
awx,True,True,True,Awara,,Nuclear Trans New Guinea
awy,True,False,True,Edera Awyu,,Nuclear Trans New Guinea
axb,True,False,True,Abipon,,Guaicuruan
axe,False,False,True,Ayerrerenge,,Pama-Nyungan
axg,True,False,True,Mato Grosso Arára,,?
axk,True,False,True,Yaka (Central African Republic),,Atlantic-Congo
axl,True,False,True,Lower Southern Aranda,,Pama-Nyungan
axm,False,False,True,Middle Armenian,,?
axx,True,False,True,Xârâgurè,,Austronesian
aya,True,False,True,Awar,,Lower Sepik-Ramu
ayb,True,False,True,Ayizo Gbe,,Atlantic-Congo
ayc,True,False,True,Southern Aymara,,Aymaran
ayd,True,False,True,Ayabadhu,,Pama-Nyungan
aye,True,False,True,Ayere,,Atlantic-Congo
ayg,True,False,True,Ginyanga,,Atlantic-Congo
ayh,True,False,True,Hadrami Arabic,,Afro-Asiatic
ayi,True,False,True,Leyigha,,Atlantic-Congo
ayk,True,False,True,Akuku,,Atlantic-Congo
ayl,True,False,True,Libyan Arabic,,Afro-Asiatic
aym,True,False,True,Aymara,1.0,Aymaran
ayn,True,False,True,Sanaani Arabic,,Afro-Asiatic
ayo,True,False,True,Ayoreo,0.0,Zamucoan
ayp,True,False,True,North Mesopotamian Arabic,,Afro-Asiatic
ayq,True,False,True,Ayi (Papua New Guinea),,Sepik
ayr,True,True,True,Central Aymara,,Aymaran
ays,True,False,True,Sorsogon Ayta,,Unattested
ayt,True,False,True,Magbukun Ayta,,Austronesian
ayu,True,False,True,Ayu,,Atlantic-Congo
ayx,False,False,True,?,,Bookkeeping
ayy,True,False,True,Tayabas Ayta,,Unattested
ayz,True,False,True,Mai Brat,,?
aza,True,False,True,Azha,,Sino-Tibetan
azb,True,True,True,South Azerbaijani,1.0,Turkic
azd,True,False,True,Eastern Durango Nahuatl,,Uto-Aztecan
aze,False,False,True,Azerbaijani,1.0,?
azg,True,True,True,San Pedro Amuzgos Amuzgo,,Otomanguean
azj,True,False,True,North Azerbaijani,,Turkic
azm,True,False,True,Ipalapa Amuzgo,,Otomanguean
azn,True,False,True,Western Durango Nahuatl,,Uto-Aztecan
azo,True,False,True,Awing,,Atlantic-Congo
azt,True,False,True,Faire Atta,,Austronesian
azz,True,True,True,Highland Puebla Nahuatl,,Uto-Aztecan
baa,True,False,True,Babatana,,Austronesian
bab,True,False,True,Bainouk-Gunyuño,,Atlantic-Congo
bac,True,False,True,Badui,,Austronesian
bae,True,False,True,Baré,0.0,Arawakan
baf,True,False,True,Nubaca,,Atlantic-Congo
bag,True,False,True,Tuki,0.0,Atlantic-Congo
bah,True,False,True,Bahamas Creole English,,Indo-European
baj,True,False,True,Barakai,,Austronesian
bak,True,False,True,Bashkir,1.0,Turkic
bal,False,False,True,Baluchi,0.0,?
bam,True,False,True,Bambara,1.0,Mande
ban,True,True,True,Balinese,0.0,Austronesian
bao,True,True,True,Waimaha,0.0,Tucanoan
bap,True,False,True,Bantawa,,Sino-Tibetan
bar,True,False,True,Bavarian,1.0,Indo-European
bas,True,False,True,Basa (Cameroon),,Atlantic-Congo
bau,True,False,True,Bada (Nigeria),,Atlantic-Congo
bav,True,False,True,Vengo,,Atlantic-Congo
baw,True,False,True,Bambili-Bambui,,Atlantic-Congo
bax,True,False,True,Bamun,0.0,Atlantic-Congo
bay,True,False,True,Batuley,,Austronesian
baz,True,False,True,?,,Bookkeeping
bba,True,True,True,Baatonum,,Atlantic-Congo
