code,URIEL,joshi,family,# of NA properties,# of zero properties,# of one properties,mean distance,min distance,Q1 distance,median distance,Q3 distance,max distance,mode distance,# of zero distances,# of mode distances,# of one distances
jav,True,1.0,Austronesian,7,16,5,0.6888748743718597,0.0,0.7223,0.7223,0.7223,1.0,0.7223,1,3,13
ita,True,4.0,Indo-European,28,0,0,0.11658994974874347,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,114,0
pnb,False,,Indo-European,28,0,0,0.24118341708542693,0.0002,0.0002,0.0002,0.5687,1.0,0.0002,0,67,2
guj,True,1.0,Indo-European,26,2,0,0.39994723618090533,0.0002,0.0002,0.641,0.641,1.0,0.641,0,73,6
tha,True,3.0,Tai-Kadai,2,15,11,0.44949899497487567,0.0002,0.3776,0.5687,0.5687,1.0,0.5687,0,3,1
kan,True,1.0,Dravidian,3,17,8,0.6534949748743734,0.0,0.641,0.641,0.641,1.0,0.641,1,5,12
amh,True,2.0,Afro-Asiatic,1,16,11,0.5604854271356805,0.0002,0.5582,0.5687,0.5687,1.0,0.5687,0,0,9
bho,True,1.0,Indo-European,27,1,0,0.1211879396984922,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,107,0
pan,True,,Indo-European,28,0,0,0.16913869346733637,0.0002,0.0002,0.0002,0.2615,0.879,0.0002,0,137,0
nan,True,1.0,Sino-Tibetan,5,18,5,0.2448839195979896,0.0,0.0002,0.0002,0.7223,1.0,0.0002,1,76,4
cjy,True,,Sino-Tibetan,27,0,1,0.3400422110552763,0.0,0.0002,0.0002,0.879,1.0,0.0002,2,61,7
apc,True,,Afro-Asiatic,28,0,0,0.09963919597989931,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,111,0
yor,True,2.0,Atlantic-Congo,1,17,10,0.4327432160804034,0.0,0.0002,0.6667,0.879,1.0,0.0002,4,71,1
hak,True,1.0,Sino-Tibetan,5,16,7,0.6310673366834189,0.0,0.6667,0.6667,0.6667,1.0,0.6667,2,6,9
