code,URIEL,joshi,family,# of NA properties,# of zero properties,# of one properties,mean distance,min distance,Q1 distance,median distance,Q3 distance,max distance,mode distance,# of zero distances,# of mode distances,# of one distances
eng,True,5.0,Indo-European,0,103,55,0.5433728643216077,0.0,0.4917,0.5472,0.5983,0.669,0.5983,1,4,0
cmn,True,5.0,Sino-Tibetan,0,109,49,0.6051376884422102,0.0,0.5846,0.624,0.624,0.7341,0.624,1,0,0
hin,True,4.0,Indo-European,0,88,70,0.5191266331658282,0.0,0.4998,0.5363,0.5363,0.6953,0.5363,1,0,0
spa,True,5.0,Indo-European,0,122,36,0.6078467336683412,0.0,0.5382,0.6643,0.6832,0.6832,0.6832,1,4,0
fra,True,5.0,Indo-European,0,104,54,0.5420517587939704,0.0,0.4817,0.5562,0.6025,0.669,0.6025,1,3,0
arb,True,,Afro-Asiatic,158,0,0,0.024180402010050252,0.0,0.0,0.0,0.0,0.7287,0.0,192,57,0
ben,True,3.0,Indo-European,0,103,55,0.5400457286432158,0.0,0.5005499999999999,0.5666,0.5983,0.7341,0.5983,1,3,0
por,True,4.0,Indo-European,0,111,47,0.5628341708542723,0.0,0.4667,0.6328,0.6328,0.7341,0.6328,1,1,0
rus,True,4.0,Indo-European,0,123,35,0.6000507537688449,0.0002,0.53635,0.6043,0.688,0.688,0.688,0,0,0
urd,True,3.0,Indo-European,0,104,54,0.5616768844221118,0.0,0.5235,0.6025,0.6025,0.6978,0.6025,1,2,0
ind,True,3.0,Austronesian,0,119,39,0.5913165829145712,0.0,0.47414999999999996,0.669,0.6929,0.6929,0.669,1,3,0
deu,True,5.0,Indo-European,0,107,51,0.5469587939698498,0.0,0.49670000000000003,0.5544,0.6153,0.6513,0.6153,1,0,0
jpn,True,5.0,Japonic,0,117,41,0.588217587939699,0.0,0.51475,0.6045,0.6597,0.6978,0.6597,1,1,0
pcm,True,0.0,Indo-European,0,120,38,0.6089050251256268,0.0,0.4981,0.6737,0.7234,0.7234,0.6737,1,0,0
arz,True,3.0,Afro-Asiatic,0,105,53,0.552671859296484,0.0,0.5124500000000001,0.5616,0.6068,0.7341,0.6068,1,1,0
mar,True,2.0,Indo-European,0,110,48,0.6342402010050238,0.0,0.6284,0.6522,0.6737,0.6737,0.6737,1,8,0
tel,True,1.0,Dravidian,0,94,64,0.5246130653266332,0.0,0.50605,0.5587,0.5608,0.6667,0.5608,1,0,0
tur,True,4.0,Turkic,0,108,50,0.6005351758793976,0.0,0.53625,0.6196,0.6196,0.7234,0.6196,1,0,0
tam,True,3.0,Dravidian,0,108,50,0.6096226130653273,0.0,0.5605,0.6196,0.7079,0.7079,0.6196,1,1,0
yue,True,1.0,Sino-Tibetan,0,127,31,0.6370542713567824,0.0,0.5505,0.7079,0.7079,0.713,0.7079,1,3,0
vie,True,4.0,Austroasiatic,0,107,51,0.5370226130653273,0.0,0.4875,0.5522,0.6153,0.7234,0.6153,1,0,0
wuu,True,,Sino-Tibetan,0,117,41,0.6177165829145731,0.0,0.5454,0.6597,0.6597,0.713,0.6597,1,2,0
tgl,True,3.0,Austronesian,0,116,42,0.5824271356783904,0.0,0.47245,0.6552,0.6552,0.7234,0.6552,1,1,0
kor,True,4.0,Koreanic,0,120,38,0.5960678391959788,0.0,0.5260499999999999,0.6597,0.6737,0.7109,0.6737,1,2,0
pes,True,,Indo-European,0,116,42,0.5819954773869335,0.0,0.48505,0.6552,0.6552,0.7341,0.6552,1,1,0
hau,True,2.0,Afro-Asiatic,0,111,47,0.5740839195979909,0.0,0.51585,0.5969,0.6328,0.7524,0.6328,1,2,0
swh,True,,Atlantic-Congo,0,108,50,0.5609256281407042,0.0,0.4865,0.6196,0.6196,0.6643,0.6196,1,1,0
jav,True,1.0,Austronesian,0,106,52,0.5385336683417091,0.0,0.44895,0.5511,0.611,0.6978,0.611,1,0,0
ita,True,4.0,Indo-European,0,120,38,0.609668844221104,0.0,0.5421,0.6737,0.6929,0.6929,0.6737,1,1,0
pnb,False,,Indo-European,158,0,0,0.2564241206030147,0.0,0.0,0.0,0.6737,0.6832,0.0,122,58,0
guj,True,1.0,Indo-European,0,104,54,0.6081793969849252,0.0,0.6025,0.6025,0.6643,0.6643,0.6643,1,7,0
tha,True,3.0,Tai-Kadai,0,112,46,0.5840683417085433,0.0,0.4792,0.6372,0.6372,0.7234,0.6372,1,1,0
kan,True,1.0,Dravidian,0,112,46,0.6207547738693472,0.0,0.6372,0.6372,0.6643,0.6657,0.6643,1,5,0
amh,True,2.0,Afro-Asiatic,0,117,41,0.5387085427135683,0.0,0.44935,0.5282,0.6597,0.6668,0.6597,1,1,0
bho,True,1.0,Indo-European,158,0,0,0.4419964824120599,0.0,0.0,0.7079,0.7079,0.7396,0.7079,72,52,0
pan,True,,Indo-European,0,97,61,0.5521170854271357,0.0002,0.5008,0.5732,0.5732,0.7341,0.5732,0,0,0
nan,True,1.0,Sino-Tibetan,0,131,27,0.2046442211055278,0.0,0.0,0.0,0.6179,0.7508,0.0,140,13,0
cjy,True,,Sino-Tibetan,158,0,0,0.5242135678391976,0.0,0.0,0.7181,0.7181,0.7396,0.7181,51,45,0
apc,True,,Afro-Asiatic,158,0,0,0.05099145728643217,0.0,0.0,0.0,0.0,0.7508,0.0,184,52,0
yor,True,2.0,Atlantic-Congo,0,122,36,0.11451105527638189,0.0,0.0,0.0,0.0,0.7508,0.0,165,37,0
hak,True,1.0,Sino-Tibetan,0,128,30,0.605423618090451,0.0002,0.5205,0.5933,0.713,0.713,0.713,0,1,0
mya,True,1.0,Sino-Tibetan,0,109,49,0.5597160804020097,0.0,0.4682,0.624,0.624,0.7181,0.624,1,0,0
apd,True,,Afro-Asiatic,0,120,38,0.07588040201005027,0.0,0.0,0.0,0.0,0.7566,0.0,176,41,0
arq,True,,Afro-Asiatic,158,0,0,0.4208884422110554,0.0,0.0,0.6784,0.6784,0.7396,0.6784,75,51,0
