code,URIEL,joshi,family
eng,True,5.0,Indo-European
cmn,True,5.0,Sino-Tibetan
hin,True,4.0,Indo-European
spa,True,5.0,Indo-European
fra,True,5.0,Indo-European
arb,True,,Afro-Asiatic
ben,True,3.0,Indo-European
por,True,4.0,Indo-European
rus,True,4.0,Indo-European
urd,True,3.0,Indo-European
ind,True,3.0,Austronesian
deu,True,5.0,Indo-European
jpn,True,5.0,Japonic
pcm,True,0.0,Indo-European
arz,True,3.0,Afro-Asiatic
mar,True,2.0,Indo-European
tel,True,1.0,Dravidian
tur,True,4.0,Turkic
tam,True,3.0,Dravidian
yue,True,1.0,Sino-Tibetan
vie,True,4.0,Austroasiatic
wuu,True,,Sino-Tibetan
tgl,True,3.0,Austronesian
kor,True,4.0,Koreanic
pes,True,,Indo-European
hau,True,2.0,Afro-Asiatic
swh,True,,Atlantic-Congo
jav,True,1.0,Austronesian
ita,True,4.0,Indo-European
pnb,False,,Indo-European
guj,True,1.0,Indo-European
tha,True,3.0,Tai-Kadai
kan,True,1.0,Dravidian
amh,True,2.0,Afro-Asiatic
bho,True,1.0,Indo-European
pan,True,,Indo-European
nan,True,1.0,Sino-Tibetan
cjy,True,,Sino-Tibetan
apc,True,,Afro-Asiatic
yor,True,2.0,Atlantic-Congo
hak,True,1.0,Sino-Tibetan
mya,True,1.0,Sino-Tibetan
apd,True,,Afro-Asiatic
arq,True,,Afro-Asiatic
pol,True,4.0,Indo-European
lin,True,1.0,Atlantic-Congo
ory,False,1.0,Indo-European
ary,True,,Afro-Asiatic
hsn,False,,Sino-Tibetan
mal,True,1.0,Dravidian
snd,True,1.0,Indo-European
ukr,True,3.0,Indo-European
sun,True,1.0,Austronesian
ibo,True,1.0,Atlantic-Congo
prs,True,0.0,Indo-European
pbu,False,,Indo-European
uzn,True,,Turkic
zul,True,2.0,Atlantic-Congo
skr,False,,Indo-European
npi,False,1.0,Indo-European
aec,True,,Afro-Asiatic
nld,True,4.0,Indo-European
ron,True,3.0,Indo-European
gan,False,1.0,Sino-Tibetan
som,True,1.0,Afro-Asiatic
mai,True,1.0,Indo-European
mag,True,0.0,Indo-European
pbt,False,,Indo-European
xho,True,2.0,Atlantic-Congo
gaz,True,,Afro-Asiatic
zlm,True,3.0,Austronesian
acm,True,,Afro-Asiatic
ars,True,,Afro-Asiatic
khm,True,1.0,Austroasiatic
afr,True,3.0,Indo-European
sin,True,0.0,Indo-European
fuv,True,,Atlantic-Congo
kaz,True,3.0,Turkic
hne,False,,Indo-European
ceb,True,3.0,Austronesian
kmr,True,,Indo-European
asm,True,1.0,Indo-European
tts,False,,Tai-Kadai
azb,True,1.0,Turkic
bar,True,1.0,Indo-European
kin,True,1.0,Atlantic-Congo
nya,True,1.0,Atlantic-Congo
